mode,requested_bytes,elapsed_cycles,bytes_per_cycle,per_active_block_bytes_per_cycle,sm_count,active_blocks,clusters,cluster_size,resident_cluster_limit,cuda_max_active_clusters,threads,iters,unroll,shared_bytes,working_set_elements,index_stride_elements,stream_period_iters,occupancy_limited
local-read,268435456,1118392,240.019113,120.009557,20,2,1,2,10,40,256,4096,8,32768,2048,2049,2048,0
local-read,268435456,1118392,240.019113,120.009557,20,2,1,2,10,40,256,4096,8,32768,2048,2049,2048,0
local-read,268435456,1118392,240.019113,120.009557,20,2,1,2,10,40,256,4096,8,32768,2048,2049,2048,0
local-write,268435456,1235129,217.333943,108.666972,20,2,1,2,10,50,256,4096,8,32768,2048,2049,2048,0
local-write,268435456,1235129,217.333943,108.666972,20,2,1,2,10,50,256,4096,8,32768,2048,2049,2048,0
local-write,268435456,1235129,217.333943,108.666972,20,2,1,2,10,50,256,4096,8,32768,2048,2049,2048,0
remote-read,268435456,11223108,23.918103,11.959052,20,2,1,2,10,40,256,4096,8,32768,2048,2049,2048,0
remote-read,268435456,11223108,23.918103,11.959052,20,2,1,2,10,40,256,4096,8,32768,2048,2049,2048,0
remote-read,268435456,11223108,23.918103,11.959052,20,2,1,2,10,40,256,4096,8,32768,2048,2049,2048,0
remote-write,268435456,9481450,28.311646,14.155823,20,2,1,2,10,40,256,4096,8,32768,2048,2049,2048,0
remote-write,268435456,9481450,28.311646,14.155823,20,2,1,2,10,40,256,4096,8,32768,2048,2049,2048,0
remote-write,268435456,9481450,28.311646,14.155823,20,2,1,2,10,40,256,4096,8,32768,2048,2049,2048,0
local-read,536870912,1118392,480.038226,120.009557,20,4,2,2,10,40,256,4096,8,32768,2048,2049,2048,0
local-read,536870912,1118392,480.038226,120.009557,20,4,2,2,10,40,256,4096,8,32768,2048,2049,2048,0
local-read,536870912,1118392,480.038226,120.009557,20,4,2,2,10,40,256,4096,8,32768,2048,2049,2048,0
local-write,536870912,1235129,434.667887,108.666972,20,4,2,2,10,50,256,4096,8,32768,2048,2049,2048,0
local-write,536870912,1235129,434.667887,108.666972,20,4,2,2,10,50,256,4096,8,32768,2048,2049,2048,0
local-write,536870912,1235129,434.667887,108.666972,20,4,2,2,10,50,256,4096,8,32768,2048,2049,2048,0
