mode,cluster_size,clusters,bytes_per_cycle_median,bytes_per_cycle_min,bytes_per_cycle_max,repeat_count
local-read,2,1,240.019113,240.019113,240.019113,3
local-read,2,10,2400.191132,2400.191132,2400.191132,3
local-read,2,2,480.038226,480.038226,480.038226,3
local-read,2,4,960.076453,960.076453,960.076453,3
local-read,2,8,1920.152905,1920.152905,1920.152905,3
local-write,2,1,217.333943,217.333943,217.333943,3
local-write,2,10,2173.339433,2173.339433,2173.339433,3
local-write,2,2,434.667887,434.667887,434.667887,3
local-write,2,4,869.335773,869.335773,869.335773,3
local-write,2,8,1738.671546,1738.671546,1738.671546,3
remote-read,2,1,23.918103,23.918103,23.918103,3
remote-read,2,10,239.181033,239.181033,239.181033,3
remote-read,2,2,47.836207,47.836207,47.836207,3
remote-read,2,4,95.672413,95.672413,95.672413,3
remote-read,2,8,191.344826,191.344826,191.344826,3
remote-write,2,1,28.311646,28.311646,28.311646,3
remote-write,2,10,283.116430,283.116430,283.116430,3
remote-write,2,2,56.623292,56.623292,56.623292,3
remote-write,2,4,113.246572,113.246572,113.246572,3
remote-write,2,8,226.493144,226.493144,226.493144,3
