mode,requested_bytes,elapsed_cycles,bytes_per_cycle,per_sm_bytes_per_cycle,ops,bytes_per_op,sm_count,blocks,threads,iters,unroll,warmup_rounds,bytes_per_cta,elements_per_cta,index_stride_elements,stream_period_iters
read-ca,2684354560,1058801,2535.277696,126.763885,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-ca,2684354560,1059266,2534.164752,126.708238,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-ca,2684354560,1058734,2535.438136,126.771907,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-cg,2684354560,2830753,948.282863,47.414143,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-cg,2684354560,2841503,944.695311,47.234766,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-cg,2684354560,2840477,945.036541,47.251827,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-wb,2684354560,6194303,433.358614,21.667931,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-wb,2684354560,6212398,432.096360,21.604818,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-wb,2684354560,6213125,432.045800,21.602290,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-cg,2684354560,6137869,437.343084,21.867154,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-cg,2684354560,6174480,434.749900,21.737495,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-cg,2684354560,6196843,433.180986,21.659049,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-ca,2684354560,1058815,2535.244174,126.762209,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-ca,2684354560,1058792,2535.299247,126.764962,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-ca,2684354560,1058685,2535.555486,126.777774,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-cg,2684354560,2838901,945.561173,47.278059,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-cg,2684354560,2848001,942.539894,47.126995,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-cg,2684354560,2842837,944.252013,47.212601,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-wb,2684354560,6211872,432.132948,21.606647,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-wb,2684354560,6182131,434.211853,21.710593,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-wb,2684354560,6184563,434.041105,21.702055,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-cg,2684354560,6161360,435.675656,21.783783,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-cg,2684354560,6179411,434.402981,21.720149,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-cg,2684354560,6222263,431.411298,21.570565,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-ca,2684354560,1059164,2534.408798,126.720440,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-ca,2684354560,1059179,2534.372906,126.718645,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-ca,2684354560,1059383,2533.884874,126.694244,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-cg,2684354560,2837273,946.103727,47.305186,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-cg,2684354560,2842433,944.386221,47.219311,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-cg,2684354560,2836532,946.350882,47.317544,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-wb,2684354560,6191163,433.578402,21.678920,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-wb,2684354560,6215322,431.893080,21.594654,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-wb,2684354560,6190187,433.646764,21.682338,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-cg,2684354560,6180022,434.360033,21.718002,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-cg,2684354560,6162588,435.588840,21.779442,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-cg,2684354560,6193842,433.390868,21.669543,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-ca,2684354560,1059397,2533.851389,126.692569,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-ca,2684354560,1061092,2529.803787,126.490189,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-ca,2684354560,1058399,2536.240643,126.812032,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-cg,2684354560,2839058,945.508884,47.275444,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-cg,2684354560,2833751,947.279616,47.363981,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-cg,2684354560,2838804,945.593482,47.279674,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-wb,2684354560,6215078,431.910036,21.595502,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-wb,2684354560,6229681,430.897595,21.544880,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-wb,2684354560,6206598,432.500149,21.625007,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-cg,2684354560,6189730,433.678781,21.683939,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-cg,2684354560,6193670,433.402903,21.670145,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
write-cg,2684354560,6218904,431.644315,21.582216,167772160,16,20,20,256,4096,8,2,32768,2048,2049,2048
read-ca,2684354560,1059503,2533.597885,126.679894,167772160,16,20,20,256,4096,8,2,65536,4096,2049,4096
read-ca,2684354560,1059690,2533.150789,126.657539,167772160,16,20,20,256,4096,8,2,65536,4096,2049,4096
read-ca,2684354560,1058990,2534.825220,126.741261,167772160,16,20,20,256,4096,8,2,65536,4096,2049,4096
read-cg,2684354560,2867462,936.143028,46.807151,167772160,16,20,20,256,4096,8,2,65536,4096,2049,4096
read-cg,2684354560,2859398,938.783114,46.939156,167772160,16,20,20,256,4096,8,2,65536,4096,2049,4096
read-cg,2684354560,2861145,938.209898,46.910495,167772160,16,20,20,256,4096,8,2,65536,4096,2049,4096
write-wb,2684354560,6156885,435.992318,21.799616,167772160,16,20,20,256,4096,8,2,65536,4096,2049,4096
write-wb,2684354560,6171289,434.974697,21.748735,167772160,16,20,20,256,4096,8,2,65536,4096,2049,4096
write-wb,2684354560,6210366,432.237739,21.611887,167772160,16,20,20,256,4096,8,2,65536,4096,2049,4096
write-cg,2684354560,6206815,432.485028,21.624251,167772160,16,20,20,256,4096,8,2,65536,4096,2049,4096
write-cg,2684354560,6188768,433.746193,21.687310,167772160,16,20,20,256,4096,8,2,65536,4096,2049,4096
write-cg,2684354560,6186938,433.874488,21.693724,167772160,16,20,20,256,4096,8,2,65536,4096,2049,4096
