mode,requested_bytes,elapsed_cycles,bytes_per_cycle,per_sm_bytes_per_cycle,ops,bytes_per_op,sm_count,blocks,blocks_per_sm,threads,iters,unroll,working_set_bytes,working_set_mib,requested_to_working_set_ratio,index_stride_elements,stream_period_iters,occupancy_blocks_per_sm
read-stream,10737418240,25801652,416.152355,20.807618,671088640,16,20,80,4,256,4096,8,67108864,64.000,160.000000,163841,4194304,4
read-stream,10737418240,24343238,441.084224,22.054211,671088640,16,20,80,4,256,4096,8,67108864,64.000,160.000000,163841,4194304,4
read-stream,10737418240,26132286,410.887063,20.544353,671088640,16,20,80,4,256,4096,8,67108864,64.000,160.000000,163841,4194304,4
write-stream,10737418240,96635141,111.112977,5.555649,671088640,16,20,80,4,256,4096,8,67108864,64.000,160.000000,163841,4194304,5
write-stream,10737418240,102152431,105.111725,5.255586,671088640,16,20,80,4,256,4096,8,67108864,64.000,160.000000,163841,4194304,5
write-stream,10737418240,99050135,108.403873,5.420194,671088640,16,20,80,4,256,4096,8,67108864,64.000,160.000000,163841,4194304,5
copy-stream,21474836480,128813733,166.712322,8.335616,671088640,32,20,80,4,256,4096,8,67108864,64.000,320.000000,163841,4194304,4
copy-stream,21474836480,124439131,172.573019,8.628651,671088640,32,20,80,4,256,4096,8,67108864,64.000,320.000000,163841,4194304,4
copy-stream,21474836480,121347108,176.970320,8.848516,671088640,32,20,80,4,256,4096,8,67108864,64.000,320.000000,163841,4194304,4
read-stream,10737418240,75358945,142.483659,7.124183,671088640,16,20,80,4,256,4096,8,134217728,128.000,80.000000,163841,8388608,4
read-stream,10737418240,75726924,141.791290,7.089564,671088640,16,20,80,4,256,4096,8,134217728,128.000,80.000000,163841,8388608,4
read-stream,10737418240,76502776,140.353315,7.017666,671088640,16,20,80,4,256,4096,8,134217728,128.000,80.000000,163841,8388608,4
write-stream,10737418240,119321358,89.987396,4.499370,671088640,16,20,80,4,256,4096,8,134217728,128.000,80.000000,163841,8388608,5
write-stream,10737418240,118757180,90.414897,4.520745,671088640,16,20,80,4,256,4096,8,134217728,128.000,80.000000,163841,8388608,5
write-stream,10737418240,115232226,93.180689,4.659034,671088640,16,20,80,4,256,4096,8,134217728,128.000,80.000000,163841,8388608,5
copy-stream,21474836480,222842256,96.367883,4.818394,671088640,32,20,80,4,256,4096,8,134217728,128.000,160.000000,163841,8388608,4
copy-stream,21474836480,217548491,98.712873,4.935644,671088640,32,20,80,4,256,4096,8,134217728,128.000,160.000000,163841,8388608,4
copy-stream,21474836480,222178142,96.655937,4.832797,671088640,32,20,80,4,256,4096,8,134217728,128.000,160.000000,163841,8388608,4
read-stream,10737418240,80737937,132.990991,6.649550,671088640,16,20,80,4,256,4096,8,268435456,256.000,40.000000,163841,16777216,4
read-stream,10737418240,80839350,132.824154,6.641208,671088640,16,20,80,4,256,4096,8,268435456,256.000,40.000000,163841,16777216,4
read-stream,10737418240,80945714,132.649620,6.632481,671088640,16,20,80,4,256,4096,8,268435456,256.000,40.000000,163841,16777216,4
write-stream,10737418240,150553751,71.319500,3.565975,671088640,16,20,80,4,256,4096,8,268435456,256.000,40.000000,163841,16777216,5
write-stream,10737418240,146455223,73.315366,3.665768,671088640,16,20,80,4,256,4096,8,268435456,256.000,40.000000,163841,16777216,5
write-stream,10737418240,149283443,71.926384,3.596319,671088640,16,20,80,4,256,4096,8,268435456,256.000,40.000000,163841,16777216,5
copy-stream,21474836480,267963826,80.140804,4.007040,671088640,32,20,80,4,256,4096,8,268435456,256.000,80.000000,163841,16777216,4
copy-stream,21474836480,270464184,79.399927,3.969996,671088640,32,20,80,4,256,4096,8,268435456,256.000,80.000000,163841,16777216,4
copy-stream,21474836480,265441344,80.902380,4.045119,671088640,32,20,80,4,256,4096,8,268435456,256.000,80.000000,163841,16777216,4
read-stream,10737418240,91449917,117.413100,5.870655,671088640,16,20,80,4,256,4096,8,536870912,512.000,20.000000,163841,33554432,4
read-stream,10737418240,86893316,123.570129,6.178506,671088640,16,20,80,4,256,4096,8,536870912,512.000,20.000000,163841,33554432,4
read-stream,10737418240,92647068,115.895931,5.794797,671088640,16,20,80,4,256,4096,8,536870912,512.000,20.000000,163841,33554432,4
write-stream,10737418240,157231299,68.290590,3.414530,671088640,16,20,80,4,256,4096,8,536870912,512.000,20.000000,163841,33554432,5
write-stream,10737418240,153816818,69.806529,3.490326,671088640,16,20,80,4,256,4096,8,536870912,512.000,20.000000,163841,33554432,5
write-stream,10737418240,157148488,68.326577,3.416329,671088640,16,20,80,4,256,4096,8,536870912,512.000,20.000000,163841,33554432,5
copy-stream,21474836480,294800187,72.845396,3.642270,671088640,32,20,80,4,256,4096,8,536870912,512.000,40.000000,163841,33554432,4
copy-stream,21474836480,290281892,73.979249,3.698962,671088640,32,20,80,4,256,4096,8,536870912,512.000,40.000000,163841,33554432,4
copy-stream,21474836480,291041313,73.786214,3.689311,671088640,32,20,80,4,256,4096,8,536870912,512.000,40.000000,163841,33554432,4
