mode,working_set_mib,bytes_per_cycle_median,bytes_per_cycle_min,bytes_per_cycle_max,repeat_count
copy-stream,128.000,96.655937,96.367883,98.712873,3
copy-stream,256.000,80.140804,79.399927,80.902380,3
copy-stream,512.000,73.786214,72.845396,73.979249,3
copy-stream,64.000,172.573019,166.712322,176.970320,3
read-stream,128.000,141.791290,140.353315,142.483659,3
read-stream,256.000,132.824154,132.649620,132.990991,3
read-stream,512.000,117.413100,115.895931,123.570129,3
read-stream,64.000,416.152355,410.887063,441.084224,3
write-stream,128.000,90.414897,89.987396,93.180689,3
write-stream,256.000,71.926384,71.319500,73.315366,3
write-stream,512.000,68.326577,68.290590,69.806529,3
write-stream,64.000,108.403873,105.111725,111.112977,3
