case,precision,path,mode,noise_cp_per_mma,tflops,cp_inst,bytes_per_cycle,slowdown_vs_control
ss_mainloop_k16_cp_noise_same_n1,FP4,SS,same,1,905.308,3200000,280.663,0.982
ss_mainloop_k16_cp_noise_same_n2,FP4,SS,same,2,735.014,6400000,455.738,0.797
ss_mainloop_k16_cp_noise_same_n4,FP4,SS,same,4,532.068,12800000,659.807,0.577
ss_mainloop_k16_cp_noise_same_n8,FP4,SS,same,8,311.834,25600000,773.397,0.338
ss_mainloop_k16_cp_noise_split_n1,FP4,SS,split,1,884.104,3200000,274.09,0.971
ss_mainloop_k16_cp_noise_split_n2,FP4,SS,split,2,507.799,6400000,314.855,0.558
ss_mainloop_k16_cp_noise_split_n4,FP4,SS,split,4,404.973,12800000,502.199,0.445
ss_mainloop_k16_cp_noise_split_n8,FP4,SS,split,8,262.081,25600000,650.003,0.288
ts_mainloop_a2_k16_base,FP4,TS,same,0,332.272,3200000,103.011,1.0
ts_mainloop_a2_k16_extra_cp_same_n1,FP4,TS,same,1,299.167,6400000,185.496,0.9
ts_mainloop_a2_k16_extra_cp_same_n2,FP4,TS,same,2,272.062,9600000,253.033,0.819
ts_mainloop_a2_k16_extra_cp_same_n4,FP4,TS,same,4,229.3,16000000,355.438,0.69
ts_mainloop_a2_k16_extra_cp_same_n8,FP4,TS,same,8,175.721,28800000,490.293,0.529
ts_mainloop_a2_k16_split_base,FP4,TS,split,0,291.014,3200000,90.22,1.0
ts_mainloop_a2_k16_extra_cp_split_n1,FP4,TS,split,1,262.894,6400000,163.004,0.903
ts_mainloop_a2_k16_extra_cp_split_n2,FP4,TS,split,2,239.647,9600000,222.886,0.823
ts_mainloop_a2_k16_extra_cp_split_n4,FP4,TS,split,4,205.775,16000000,318.972,0.707
ts_mainloop_a2_k16_extra_cp_split_n8,FP4,TS,split,8,158.157,28800000,441.286,0.543
ss_mainloop_k16_cp_noise_same_n1,BF16,SS,same,1,226.424,3200000,280.783,0.982
ss_mainloop_k16_cp_noise_same_n2,BF16,SS,same,2,183.562,6400000,455.263,0.796
ss_mainloop_k16_cp_noise_same_n4,BF16,SS,same,4,132.95,12800000,659.475,0.577
ss_mainloop_k16_cp_noise_same_n8,BF16,SS,same,8,77.935,25600000,773.169,0.338
ss_mainloop_k16_cp_noise_split_n1,BF16,SS,split,1,220.565,3200000,273.518,0.969
ss_mainloop_k16_cp_noise_split_n2,BF16,SS,split,2,126.554,6400000,313.875,0.556
ss_mainloop_k16_cp_noise_split_n4,BF16,SS,split,4,100.992,12800000,500.951,0.444
ss_mainloop_k16_cp_noise_split_n8,BF16,SS,split,8,65.415,25600000,648.957,0.287
ts_mainloop_a2_k16_base,BF16,TS,same,0,83.304,3200000,103.303,1.0
ts_mainloop_a2_k16_extra_cp_same_n1,BF16,TS,same,1,74.983,6400000,185.969,0.9
ts_mainloop_a2_k16_extra_cp_same_n2,BF16,TS,same,2,68.173,9600000,253.621,0.818
ts_mainloop_a2_k16_extra_cp_same_n4,BF16,TS,same,4,57.437,16000000,356.134,0.689
ts_mainloop_a2_k16_extra_cp_same_n8,BF16,TS,same,8,43.948,28800000,490.496,0.528
ts_mainloop_a2_k16_split_base,BF16,TS,split,0,73.126,3200000,90.682,1.0
ts_mainloop_a2_k16_extra_cp_split_n1,BF16,TS,split,1,65.723,6400000,163.004,0.899
ts_mainloop_a2_k16_extra_cp_split_n2,BF16,TS,split,2,60.007,9600000,223.24,0.821
ts_mainloop_a2_k16_extra_cp_split_n4,BF16,TS,split,4,51.514,16000000,319.407,0.704
ts_mainloop_a2_k16_extra_cp_split_n8,BF16,TS,split,8,39.542,28800000,441.319,0.541
