mode,requested_bytes,elapsed_cycles,bytes_per_cycle,per_sm_bytes_per_cycle,sm_count,blocks,blocks_per_sm,threads,iters,warmup_iters,tile_bytes,slots,working_set_bytes,total_tiles,occupancy_blocks_per_sm,sink,repeat
l2-hit,671088640,3272209,205.087340,10.254367,20,20,1,128,4096,32,8192,4,16777216,2048,6,0,0
l2-hit,671088640,3240675,207.082981,10.354149,20,20,1,128,4096,32,8192,4,16777216,2048,6,0,1
l2-hit,671088640,3247882,206.623467,10.331173,20,20,1,128,4096,32,8192,4,16777216,2048,6,0,2
l2-hit,1342177280,2895947,463.467487,23.173374,20,20,1,128,4096,32,16384,4,16777216,1024,3,2246574080,0
l2-hit,1342177280,2879681,466.085403,23.304270,20,20,1,128,4096,32,16384,4,16777216,1024,3,2246574080,1
l2-hit,1342177280,2893235,463.901923,23.195096,20,20,1,128,4096,32,16384,4,16777216,1024,3,2246574080,2
l2-hit,2684354560,3444324,779.355996,38.967800,20,20,1,128,4096,32,32768,4,16777216,512,1,653262848,0
l2-hit,2684354560,3460220,775.775691,38.788785,20,20,1,128,4096,32,32768,4,16777216,512,1,653262848,1
l2-hit,2684354560,3478769,771.639209,38.581960,20,20,1,128,4096,32,32768,4,16777216,512,1,653262848,2
l2-hit,5368709120,5615473,956.056439,47.802822,20,20,1,128,4096,32,65536,2,16777216,256,1,2627731456,0
l2-hit,5368709120,5596411,959.312874,47.965644,20,20,1,128,4096,32,65536,2,16777216,256,1,2627731456,1
l2-hit,5368709120,5591262,960.196306,48.009815,20,20,1,128,4096,32,65536,2,16777216,256,1,2627731456,2
dram-stream,671088640,6868645,97.703206,4.885160,20,20,1,128,4096,32,8192,4,676331520,82560,6,4244635648,0
dram-stream,671088640,6752322,99.386350,4.969318,20,20,1,128,4096,32,8192,4,676331520,82560,6,4244635648,1
dram-stream,671088640,6692387,100.276425,5.013821,20,20,1,128,4096,32,8192,4,676331520,82560,6,4244635648,2
dram-stream,1342177280,8676765,154.686370,7.734318,20,20,1,128,4096,32,16384,4,1352663040,82560,3,1474822144,0
dram-stream,1342177280,8615662,155.783419,7.789171,20,20,1,128,4096,32,16384,4,1352663040,82560,3,1474822144,1
dram-stream,1342177280,8605025,155.975988,7.798799,20,20,1,128,4096,32,16384,4,1352663040,82560,3,1474822144,2
dram-stream,2684354560,16396170,163.718390,8.185920,20,20,1,128,4096,32,32768,4,2705326080,82560,1,594542592,0
dram-stream,2684354560,16462131,163.062398,8.153120,20,20,1,128,4096,32,32768,4,2705326080,82560,1,594542592,1
dram-stream,2684354560,17162559,156.407594,7.820380,20,20,1,128,4096,32,32768,4,2705326080,82560,1,594542592,2
dram-stream,5368709120,34512988,155.556196,7.777810,20,20,1,128,4096,32,65536,2,5410652160,82560,1,950009856,0
dram-stream,5368709120,34585339,155.230779,7.761539,20,20,1,128,4096,32,65536,2,5410652160,82560,1,950009856,1
dram-stream,5368709120,36178160,148.396412,7.419821,20,20,1,128,4096,32,65536,2,5410652160,82560,1,950009856,2
