mode,stride_words,app_bytes_per_cycle,wavefronts,wavefronts_per_cycle_elapsed,wavefronts_pct_peak_elapsed,payload_normalized_peak_bytes_per_cycle,ld_wavefronts,st_wavefronts,bank_conflicts,ld_bank_conflicts,st_bank_conflicts,missing_metric_count,missing_metrics
read,1,1056.451100,21304920.0,8.21,41.07,2572.3182371560747,21299220.0,5160.0,0.0,0.0,0.0,0,
read,2,1027.190378,42604120.0,15.98,79.91,1285.4340858465775,42598420.0,5160.0,21299200.0,21299200.0,0.0,0,
read,4,639.902206,85202520.0,19.93,99.65,642.1497300551931,85196820.0,5160.0,63897600.0,63897600.0,0.0,0,
read,8,319.969714,170399320.0,19.98,99.9,320.290004004004,170393620.0,5160.0,149094400.0,149094400.0,0.0,0,
read,16,159.986354,340792920.0,19.98,99.91,160.13047142428186,340787220.0,5160.0,319488000.0,319488000.0,0.0,0,
read,32,79.993690,681580120.0,19.99,99.96,80.02570028011205,681574420.0,5160.0,660275200.0,660275200.0,0.0,0,
write,1,821.226752,21304920.0,6.4,31.99,2567.135829946859,20.0,21304360.0,0.0,0.0,0.0,0,
write,2,821.226752,42604120.0,12.79,63.93,1284.5718004066948,20.0,42603560.0,21299200.0,0.0,21299200.0,0,
write,4,639.952549,85202520.0,19.94,99.72,641.749447452868,20.0,85201960.0,63897600.0,0.0,63897600.0,0,
write,8,319.995194,170399320.0,19.98,99.88,320.37964957949544,20.0,170398760.0,149094400.0,0.0,149094400.0,0,
write,16,159.997568,340792920.0,19.98,99.92,160.12566853482787,20.0,340792360.0,319488000.0,0.0,319488000.0,0,
write,32,79.999039,681580120.0,20.0,99.98,80.01504200840168,20.0,681579560.0,660275200.0,0.0,660275200.0,0,
