mode,threads_per_block,blocks_per_sm,active_warps_per_sm,occupancy_blocks_per_sm,working_set_bytes,working_set_mib,requested_bytes,requested_to_working_set_ratio,elapsed_cycles,bytes_per_cycle_median,bytes_per_cycle_min,bytes_per_cycle_max,per_sm_bytes_per_cycle,index_stride_elements,stream_period_iters,sm_count,repeat_count
read-unique,256,4,32.0,4,65536,0.0625,5368709120.0,81920.0,5627584,953.998931,953.569725,954.77105,47.69994655,163841,4096,20,3
read-unique,256,4,32.0,4,131072,0.125,5368709120.0,40960.0,5637586,952.306381,952.187475,952.872433,47.61531905,163841,8192,20,3
read-unique,256,4,32.0,4,262144,0.25,5368709120.0,20480.0,5691207,943.33401,942.847776,943.732482,47.166700500000005,163841,16384,20,3
read-unique,256,4,32.0,4,524288,0.5,5368709120.0,10240.0,5699279,941.997947,941.427238,942.769296,47.09989735,163841,32768,20,3
read-unique,256,4,32.0,4,1048576,1.0,5368709120.0,5120.0,5705647,940.946596,500.969625,942.630086,47.0473298,163841,65536,20,3
read-unique,256,4,32.0,4,2097152,2.0,5368709120.0,2560.0,5689577,943.604264,943.427006,943.904213,47.1802132,163841,131072,20,3
read-unique,256,4,32.0,4,4194304,4.0,5368709120.0,1280.0,5691743,943.245175,852.051354,944.375091,47.16225875,163841,262144,20,3
read-unique,256,4,32.0,4,8388608,8.0,5368709120.0,640.0,5678719,945.408484,944.794728,945.999034,47.2704242,163841,524288,20,3
read-unique,256,4,32.0,4,16777216,16.0,5368709120.0,320.0,5673308,946.310181,946.041875,946.62654,47.315509049999996,163841,1048576,20,3
read-unique,256,4,32.0,4,33554432,32.0,5368709120.0,160.0,5719565,938.656894,831.105932,941.328034,46.9328447,163841,2097152,20,3
read-unique,256,4,32.0,4,67108864,64.0,5368709120.0,80.0,14348434,374.166904,358.524772,374.189488,18.7083452,163841,4194304,20,3
read-unique,256,4,32.0,4,134217728,128.0,5368709120.0,40.0,31706123,169.327203,168.081509,214.188656,8.46636015,163841,8388608,20,3
write-unique,256,4,32.0,5,65536,0.0625,5368709120.0,81920.0,8193025,655.27801,653.505105,655.779148,32.7639005,163841,4096,20,3
write-unique,256,4,32.0,5,131072,0.125,5368709120.0,40960.0,13183668,407.224235,406.205891,407.82984,20.361211750000002,163841,8192,20,3
write-unique,256,4,32.0,5,262144,0.25,5368709120.0,20480.0,13187489,407.106244,405.685858,409.780267,20.3553122,163841,16384,20,3
write-unique,256,4,32.0,5,524288,0.5,5368709120.0,10240.0,13217154,406.192522,406.057192,407.567232,20.3096261,163841,32768,20,3
write-unique,256,4,32.0,5,1048576,1.0,5368709120.0,5120.0,13236934,405.585547,366.845153,407.099299,20.27927735,163841,65536,20,3
write-unique,256,4,32.0,5,2097152,2.0,5368709120.0,2560.0,13326039,402.873586,402.631995,403.316852,20.1436793,163841,131072,20,3
write-unique,256,4,32.0,5,4194304,4.0,5368709120.0,1280.0,13293313,403.865396,402.846681,403.998692,20.1932698,163841,262144,20,3
write-unique,256,4,32.0,5,8388608,8.0,5368709120.0,640.0,13431911,399.698086,399.409975,399.78845,19.9849043,163841,524288,20,3
write-unique,256,4,32.0,5,16777216,16.0,5368709120.0,320.0,18595986,288.702579,287.165802,290.553885,14.435128950000001,163841,1048576,20,3
write-unique,256,4,32.0,5,33554432,32.0,5368709120.0,160.0,31350871,171.245932,161.789571,173.808074,8.5622966,163841,2097152,20,3
write-unique,256,4,32.0,5,67108864,64.0,5368709120.0,80.0,48411828,110.896641,106.976862,112.795187,5.54483205,163841,4194304,20,3
write-unique,256,4,32.0,5,134217728,128.0,5368709120.0,40.0,55991247,95.884793,94.166806,96.086737,4.79423965,163841,8388608,20,3
