precision,warp_num,launch,shape,cycles,tflops,macs_per_cycle_per_active_block,has_ncu_metrics,log_path
FP4,1,SingleWarpBlock,M128N256K64,1280414,51.592913,16378.702513,True,/xplorer/shijy/mma/ncu_reports/tcgen05_single_warp_block_m128n256_fp4_benchmark.log
FP4,1,SingleWarpBlock,M128N128K64,790392,41.789573,13266.531038,True,/xplorer/shijy/mma/ncu_reports/tcgen05_single_warp_block_m128n128_fp4_benchmark.log
FP4,1,SingleWarpBlock,M128N64K64,752912,21.93493,6963.469834,True,/xplorer/shijy/mma/ncu_reports/tcgen05_single_warp_block_m128n64_fp4_benchmark.log
FP4,4,FullSM4WarpBlock,M128N256K64,5120402,1032.110963,16382.713701,True,/xplorer/shijy/mma/ncu_reports/tcgen05_full_sm_4warp_block_m128n256_fp4_benchmark.log
FP4,4,FullSM4WarpBlock,M128N128K64,2570398,1028.016486,16317.722003,True,/xplorer/shijy/mma/ncu_reports/tcgen05_full_sm_4warp_block_m128n128_fp4_benchmark.log
FP4,4,FullSM4WarpBlock,M128N64K64,1930413,684.416112,10863.747809,True,/xplorer/shijy/mma/ncu_reports/tcgen05_full_sm_4warp_block_m128n64_fp4_benchmark.log
FP8,1,SingleWarpBlock,M128N256K32,1280367,25.797403,8189.651873,True,/xplorer/shijy/mma/ncu_reports/tcgen05_single_warp_block_m128n256_fp8_benchmark.log
FP8,1,SingleWarpBlock,M128N128K32,741667,22.267503,7069.048508,True,/xplorer/shijy/mma/ncu_reports/tcgen05_single_warp_block_m128n128_fp8_benchmark.log
FP8,1,SingleWarpBlock,M128N64K32,700457,11.788784,3742.470987,True,/xplorer/shijy/mma/ncu_reports/tcgen05_single_warp_block_m128n64_fp8_benchmark.log
FP8,4,FullSM4WarpBlock,M128N256K32,5120361,516.059614,8191.422441,True,/xplorer/shijy/mma/ncu_reports/tcgen05_full_sm_4warp_block_m128n256_fp8_benchmark.log
FP8,4,FullSM4WarpBlock,M128N128K32,2570363,514.015242,8158.972098,True,/xplorer/shijy/mma/ncu_reports/tcgen05_full_sm_4warp_block_m128n128_fp8_benchmark.log
FP8,4,FullSM4WarpBlock,M128N64K32,1930385,342.21302,5431.952693,True,/xplorer/shijy/mma/ncu_reports/tcgen05_full_sm_4warp_block_m128n64_fp8_benchmark.log
BF16,1,SingleWarpBlock,M128N256K16,1280367,12.898702,4094.825937,True,/xplorer/shijy/mma/ncu_reports/tcgen05_single_warp_block_m128n256_bf16_benchmark.log
BF16,1,SingleWarpBlock,M128N128K16,741667,11.133751,3534.524254,True,/xplorer/shijy/mma/ncu_reports/tcgen05_single_warp_block_m128n128_bf16_benchmark.log
BF16,1,SingleWarpBlock,M128N64K16,700457,5.894392,1871.235493,True,/xplorer/shijy/mma/ncu_reports/tcgen05_single_warp_block_m128n64_bf16_benchmark.log
BF16,4,FullSM4WarpBlock,M128N256K16,5120361,258.029807,4095.71122,True,/xplorer/shijy/mma/ncu_reports/tcgen05_full_sm_4warp_block_m128n256_bf16_benchmark.log
BF16,4,FullSM4WarpBlock,M128N128K16,2570363,257.007621,4079.486049,True,/xplorer/shijy/mma/ncu_reports/tcgen05_full_sm_4warp_block_m128n128_bf16_benchmark.log
BF16,4,FullSM4WarpBlock,M128N64K16,1930385,171.10651,2715.976347,True,/xplorer/shijy/mma/ncu_reports/tcgen05_full_sm_4warp_block_m128n64_bf16_benchmark.log
