experiment,case_id,valid,invalid_reason,gpu,compute_capability,driver,cuda_version,ptx_version,sm_clock_mhz,mem_clock_mhz,temperature_c,power_w,dtype,m,n,k,Q,iterations,run_order,repeat,collector_mode,operand_address_mode,independent_d_count,d_reuse_distance,commit_interval,pending_mbarriers,wait_polling_mode,smem_layout,swizzle,alignment_bytes,lda,ldb,smem_base_offset,tmem_columns,d_base_column,d_tile_base_delta,d_alias_class,input_d,interference_mode,interference_ops_per_iter,interference_warps,resident_ctas,elapsed_cycles,elapsed_us,elapsed_cycles_p10,elapsed_cycles_p90,alpha_cycles,beta_cycles_per_mma,logical_smem_bytes_per_mma,effective_smem_bytes_per_cycle,tflops,tflops_p10,tflops_p90,poll_count,max_abs_error,guard_ok,sass_hash,notes
01_collector_protocol,collector_ws_b2_fp16_m128n128k16,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,8,300,1,0,fill_use_lastuse,same,4,4,8,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,none,0,4,20,3098271.0,1967.1561904761907,,,,,8192,,12.792997384670352,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,; UTCHMMA=21;UTCHMMA_WS=16;UTCBAR=1;UTCATOMSWS=3;SYNCS_TRYWAIT=8;LDS=21;LDG=9;ptx_tcgen05_mma=21;ptx_tcgen05_mma_ws=16;ptx_tcgen05_commit=1;ptx_tcgen05_alloc=1;ptx_tcgen05_dealloc=1;ptx_tcgen05_ld=5;ptx_tcgen05_st=5;ptx_mbarrier_wait=5;ptx_cp_async_tma=2;ptx_ld_shared=26;ptx_ld_global=7
01_collector_protocol,collector_ws_b2_fp16_m128n128k16,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,8,300,1,1,fill_use_lastuse,same,4,4,8,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,none,0,4,20,3098281.0,1967.1625396825398,,,,,8192,,12.792956094040534,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
01_collector_protocol,collector_ws_b2_fp16_m128n128k16,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,8,300,1,2,fill_use_lastuse,same,4,4,8,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,none,0,4,20,3098280.0,1967.161904761905,,,,,8192,,12.79296022309152,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
01_collector_protocol,collector_ws_b2_fp16_m128n128k16,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,8,300,1,3,fill_use_lastuse,same,4,4,8,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,none,0,4,20,3098279.0,1967.1612698412698,,,,,8192,,12.792964352145177,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
01_collector_protocol,collector_ws_b2_fp16_m128n128k16,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,8,300,1,4,fill_use_lastuse,same,4,4,8,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,none,0,4,20,3098274.0,1967.1580952380953,,,,,8192,,12.79298499745342,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
01_collector_protocol,collector_fp16_m128n128k16_same_fill_lastuse_r0,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,2,400,2,0,fill_lastuse,same,4,4,2,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,none,0,4,20,1028370.0,652.9333333333334,,,,,8192,,12.84757198284664,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,; UTCHMMA=21;UTCHMMA_WS=16;UTCBAR=1;UTCATOMSWS=3;SYNCS_TRYWAIT=8;LDS=21;LDG=9;ptx_tcgen05_mma=21;ptx_tcgen05_mma_ws=16;ptx_tcgen05_commit=1;ptx_tcgen05_alloc=1;ptx_tcgen05_dealloc=1;ptx_tcgen05_ld=5;ptx_tcgen05_st=5;ptx_mbarrier_wait=5;ptx_cp_async_tma=2;ptx_ld_shared=26;ptx_ld_global=7
01_collector_protocol,collector_fp16_m128n128k16_same_fill_lastuse_r0,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,2,400,2,1,fill_lastuse,same,4,4,2,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,none,0,4,20,1028374.0,652.935873015873,,,,,8192,,12.847522010474789,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
01_collector_protocol,collector_fp16_m128n128k16_same_fill_lastuse_r0,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,2,400,2,2,fill_lastuse,same,4,4,2,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,none,0,4,20,1028364.0,652.9295238095237,,,,,8192,,12.847646942133332,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
01_collector_protocol,collector_fp16_m128n128k16_same_fill_lastuse_r0,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,2,400,2,3,fill_lastuse,same,4,4,2,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,none,0,4,20,1028371.0,652.9339682539683,,,,,8192,,12.847559489717232,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
01_collector_protocol,collector_fp16_m128n128k16_same_fill_lastuse_r0,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,2,400,2,4,fill_lastuse,same,4,4,2,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,none,0,4,20,1028370.0,652.9333333333334,,,,,8192,,12.84757198284664,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
01_collector_protocol,collector_bf16_m128n64k16_pingpong_fill_use_lastuse_r7,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,64,16,9,400,3,0,fill_use_lastuse,pingpong,8,8,9,1,nocount,sw128,sw128,16,16,16,0,512,0,64,none,0,none,0,4,20,3557960.0,2259.0222222222224,,,,,6144,,8.355105060203037,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,; UTCHMMA=21;UTCHMMA_WS=16;UTCBAR=1;UTCATOMSWS=3;SYNCS_TRYWAIT=8;LDS=21;LDG=9;ptx_tcgen05_mma=21;ptx_tcgen05_mma_ws=16;ptx_tcgen05_commit=1;ptx_tcgen05_alloc=1;ptx_tcgen05_dealloc=1;ptx_tcgen05_ld=5;ptx_tcgen05_st=5;ptx_mbarrier_wait=5;ptx_cp_async_tma=2;ptx_ld_shared=26;ptx_ld_global=7
01_collector_protocol,collector_bf16_m128n64k16_pingpong_fill_use_lastuse_r7,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,64,16,9,400,3,1,fill_use_lastuse,pingpong,8,8,9,1,nocount,sw128,sw128,16,16,16,0,512,0,64,none,0,none,0,4,20,3557957.0,2259.0203174603175,,,,,6144,,8.355112105064789,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
