experiment,case_id,valid,invalid_reason,gpu,compute_capability,driver,cuda_version,ptx_version,sm_clock_mhz,mem_clock_mhz,temperature_c,power_w,dtype,m,n,k,Q,iterations,run_order,repeat,collector_mode,operand_address_mode,independent_d_count,d_reuse_distance,commit_interval,pending_mbarriers,wait_polling_mode,smem_layout,swizzle,alignment_bytes,lda,ldb,smem_base_offset,tmem_columns,d_base_column,d_tile_base_delta,d_alias_class,input_d,interference_mode,interference_ops_per_iter,interference_warps,resident_ctas,elapsed_cycles,elapsed_us,elapsed_cycles_p10,elapsed_cycles_p90,alpha_cycles,beta_cycles_per_mma,logical_smem_bytes_per_mma,effective_smem_bytes_per_cycle,tflops,tflops_p10,tflops_p90,poll_count,max_abs_error,guard_ok,sass_hash,notes
02_latency_throughput,lat_fp16_m128n128k16_legal_ring_in1_q1,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,1,512,1,0,discard,same,4,4,1,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,1,none,0,4,20,841328.0,534.176507936508,,,,,8192,,10.050440332426827,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,legal_ring; UTCHMMA=21;UTCHMMA_WS=16;UTCBAR=1;UTCATOMSWS=3;SYNCS_TRYWAIT=8;LDS=21;LDG=9;ptx_tcgen05_mma=21;ptx_tcgen05_mma_ws=16;ptx_tcgen05_commit=1;ptx_tcgen05_alloc=1;ptx_tcgen05_dealloc=1;ptx_tcgen05_ld=5;ptx_tcgen05_st=5;ptx_mbarrier_wait=5;ptx_cp_async_tma=2;ptx_ld_shared=26;ptx_ld_global=7
02_latency_throughput,lat_fp16_m128n128k16_legal_ring_in1_q1,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,1,512,1,1,discard,same,4,4,1,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,1,none,0,4,20,841328.0,534.176507936508,,,,,8192,,10.050440332426827,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,legal_ring
02_latency_throughput,lat_fp16_m128n128k16_legal_ring_in1_q1,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,1,512,1,2,discard,same,4,4,1,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,1,none,0,4,20,841580.0,534.3365079365079,,,,,8192,,10.04743086099955,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,legal_ring
02_latency_throughput,lat_fp16_m128n128k16_legal_ring_in1_q1,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,1,512,1,3,discard,same,4,4,1,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,1,none,0,4,20,841078.0,534.0177777777777,,,,,8192,,10.0534277011169,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,legal_ring
02_latency_throughput,lat_fp16_m128n128k16_legal_ring_in1_q1,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,1,512,1,4,discard,same,4,4,1,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,1,none,0,4,20,841077.0,534.0171428571429,,,,,8192,,10.053439654157703,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,legal_ring
02_latency_throughput,lat_bf16_m128n128k16_same_d_in0_q8,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,128,16,8,64,2,0,discard,same,1,1,8,1,nocount,sw128,sw128,16,16,16,0,512,0,0,none,0,none,0,4,20,435689.0,276.6279365079365,,,,,8192,,19.407689576739372,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,same_d; UTCHMMA=21;UTCHMMA_WS=16;UTCBAR=1;UTCATOMSWS=3;SYNCS_TRYWAIT=8;LDS=21;LDG=9;ptx_tcgen05_mma=21;ptx_tcgen05_mma_ws=16;ptx_tcgen05_commit=1;ptx_tcgen05_alloc=1;ptx_tcgen05_dealloc=1;ptx_tcgen05_ld=5;ptx_tcgen05_st=5;ptx_mbarrier_wait=5;ptx_cp_async_tma=2;ptx_ld_shared=26;ptx_ld_global=7
02_latency_throughput,lat_bf16_m128n128k16_same_d_in0_q8,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,128,16,8,64,2,1,discard,same,1,1,8,1,nocount,sw128,sw128,16,16,16,0,512,0,0,none,0,none,0,4,20,435702.0,276.63619047619045,,,,,8192,,19.40711051131278,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,same_d
02_latency_throughput,lat_bf16_m128n128k16_same_d_in0_q8,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,128,16,8,64,2,2,discard,same,1,1,8,1,nocount,sw128,sw128,16,16,16,0,512,0,0,none,0,none,0,4,20,435692.0,276.6298412698412,,,,,8192,,19.407555943189227,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,same_d
02_latency_throughput,lat_bf16_m128n128k16_same_d_in0_q8,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,128,16,8,64,2,3,discard,same,1,1,8,1,nocount,sw128,sw128,16,16,16,0,512,0,0,none,0,none,0,4,20,435696.0,276.6323809523809,,,,,8192,,19.407377767985018,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,same_d
02_latency_throughput,lat_bf16_m128n128k16_same_d_in0_q8,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,128,16,8,64,2,4,discard,same,1,1,8,1,nocount,sw128,sw128,16,16,16,0,512,0,0,none,0,none,0,4,20,435695.0,276.63174603174605,,,,,8192,,19.40742231147936,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,same_d
