phase,case_id,valid,invalid_reason,gpu,compute_capability,driver,cuda_version,sm_clock_mhz,mem_clock_mhz,temperature_c,power_w,telemetry_status,dtype,n,q,iterations,repeat,run_order,mode,d_mode,addr_mode,collector,input_d,wait_hint,active_blocks_request,launch_blocks,interference,interference_ops,clock64_cycles,clock64_cycles_p10,clock64_cycles_p50,clock64_cycles_p90,clock64_cycles_cv,cycles_per_mma,event_ms,event_ms_p10,event_ms_p50,event_ms_p90,event_ms_cv,clock64_full_grid_tflops,event_wall_tflops,poll_count,max_abs_error,guard_ok,sass_hash,sass_utchmma,sass_trywait,sass_syncthreads,sass_ld_shared,sass_ld_global,sass_utcld,sass_utcst,notes
calibration,v2_calibration_fp16_n128_q4_batch_same_in1_same_discard_h32_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,4,500,0,1,batch,same,same,discard,1,32,1,1,none,0,315271.0,,,,,157.6355,0.296672,,,,,5.238373335955416,3.534462301801316,500,0.000000000,1,640e48c3d92ba8291d2d0868dddfc9fe90a597dad81638b26dfa971bd031c620,4,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_fp16_n128_q4_batch_same_in1_same_discard_h32_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,4,500,1,1,batch,same,same,discard,1,32,1,1,none,0,315154.0,,,,,157.577,0.296928,,,,,5.240318066722936,3.5314150231706,500,0.000000000,1,640e48c3d92ba8291d2d0868dddfc9fe90a597dad81638b26dfa971bd031c620,4,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_fp16_n128_q4_batch_same_in1_same_discard_h32_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,4,500,2,1,batch,same,same,discard,1,32,1,1,none,0,315248.0,,,,,157.624,0.298208,,,,,5.238755519464041,3.5162571091318817,500,0.000000000,1,640e48c3d92ba8291d2d0868dddfc9fe90a597dad81638b26dfa971bd031c620,4,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
control,v2_control_fp16_n256_q1_forced_wait_same_in0_same_discard_h32_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,1,1000,0,2,forced_wait,same,same,discard,0,32,1,1,none,0,497234.0,,,,,497.234,0.413344,,,,,3.321388320187276,2.5368119532399165,1000,0.000000000,1,b8769f0d08091079041a9961d5f53537c653cdc43d2c907973460f274bcffc58,1,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
control,v2_control_fp16_n256_q1_forced_wait_same_in0_same_discard_h32_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,1,1000,1,2,forced_wait,same,same,discard,0,32,1,1,none,0,497318.0,,,,,497.318,0.41264,,,,,3.320827317732316,2.5411399767351686,1000,0.000000000,1,b8769f0d08091079041a9961d5f53537c653cdc43d2c907973460f274bcffc58,1,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
control,v2_control_fp16_n256_q1_forced_wait_same_in0_same_discard_h32_b1_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,1,1000,2,2,forced_wait,same,same,discard,0,32,1,1,none,0,497381.0,,,,,497.381,0.413792,,,,,3.3204066902434954,2.5340654241744645,1000,0.000000000,1,b8769f0d08091079041a9961d5f53537c653cdc43d2c907973460f274bcffc58,1,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_fp16_n128_q64_batch_same_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,64,500,0,3,batch,same,same,discard,1,0,0,20,none,0,2206154.0,,,,,68.9423125,1.53152,,,,,239.54914480131487,219.09235269536146,10530,0.000000000,1,ab39074e29bf887bfc29b8b6ab7b10bb618c43bac5cd166acc9e75c53e9abd23,64,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_fp16_n128_q64_batch_same_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,64,500,1,3,batch,same,same,discard,1,0,0,20,none,0,2205839.0,,,,,68.93246875,1.622784,,,,,239.58335309149942,206.77078403533682,10106,0.000000000,1,ab39074e29bf887bfc29b8b6ab7b10bb618c43bac5cd166acc9e75c53e9abd23,64,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_fp16_n128_q64_batch_same_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,64,500,2,3,batch,same,same,discard,1,0,0,20,none,0,2206188.0,,,,,68.943375,1.529824,,,,,239.5454530620237,219.33524379275,10478,0.000000000,1,ab39074e29bf887bfc29b8b6ab7b10bb618c43bac5cd166acc9e75c53e9abd23,64,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
calibration,v2_calibration_bf16_n256_q4_batch_same_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,4,500,0,4,batch,same,same,discard,0,0,0,20,none,0,425653.0,,,,,212.8265,0.401664,,,,,155.197515347008,104.42319949012109,19982,0.000000000,1,9baa93de745943143d83b8ce2cc0329378b2fc27bb440a912d38db9b3e789c2d,4,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
