phase,case_id,valid,invalid_reason,gpu,compute_capability,driver,cuda_version,sm_clock_mhz,mem_clock_mhz,temperature_c,power_w,telemetry_status,dtype,n,q,iterations,repeat,run_order,mode,d_mode,addr_mode,collector,input_d,wait_hint,active_blocks_request,launch_blocks,interference,interference_ops,clock64_cycles,clock64_cycles_p10,clock64_cycles_p50,clock64_cycles_p90,clock64_cycles_cv,cycles_per_mma,event_ms,event_ms_p10,event_ms_p50,event_ms_p90,event_ms_cv,clock64_full_grid_tflops,event_wall_tflops,poll_count,max_abs_error,guard_ok,sass_hash,sass_utchmma,sass_trywait,sass_syncthreads,sass_ld_shared,sass_ld_global,sass_utcld,sass_utcst,notes
collector,v3_collector_bf16_n128_q16_batch_ring_in1_pingpong_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,0,1,batch,ring,pingpong,discard,1,0,0,20,none,0,166667.0,,,,,86.80572916666667,0.23888,,,,,190.25324893350214,84.27938379102478,4673,0.000000000,1,796ca68c248ef36ed4e248f9ae693b3f25f495fe194a1c3114b806bb28b12154,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_bf16_n128_q16_batch_ring_in1_pingpong_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,1,1,batch,ring,pingpong,discard,1,0,0,20,none,0,166614.0,,,,,86.778125,0.237248,,,,,190.31376859087473,84.85913137307797,4680,0.000000000,1,796ca68c248ef36ed4e248f9ae693b3f25f495fe194a1c3114b806bb28b12154,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_bf16_n128_q16_batch_ring_in1_pingpong_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,2,1,batch,ring,pingpong,discard,1,0,0,20,none,0,166453.0,,,,,86.69427083333333,0.237824,,,,,190.4978476807267,84.65360602798708,4683,0.000000000,1,796ca68c248ef36ed4e248f9ae693b3f25f495fe194a1c3114b806bb28b12154,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_bf16_n128_q16_batch_ring_in1_pingpong_fill_use_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,0,2,batch,ring,pingpong,fill_use_discard,1,0,0,20,none,0,172077.0,,,,,89.6234375,0.242656,,,,,184.27179832284384,82.96790188579718,4780,0.000000000,1,a92086c410a2b1d4cc7bd8e39820ad522732d9cfecab63fb82c2d885eae0b40c,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_bf16_n128_q16_batch_ring_in1_pingpong_fill_use_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,1,2,batch,ring,pingpong,fill_use_discard,1,0,0,20,none,0,172288.0,,,,,89.73333333333333,0.242912,,,,,184.0461218424963,82.88046370702146,4780,0.000000000,1,a92086c410a2b1d4cc7bd8e39820ad522732d9cfecab63fb82c2d885eae0b40c,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_bf16_n128_q16_batch_ring_in1_pingpong_fill_use_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,2,2,batch,ring,pingpong,fill_use_discard,1,0,0,20,none,0,172265.0,,,,,89.72135416666667,0.241056,,,,,184.07069480161377,83.51859816806054,4780,0.000000000,1,a92086c410a2b1d4cc7bd8e39820ad522732d9cfecab63fb82c2d885eae0b40c,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_fp16_n256_q16_batch_ring_in1_pingpong_fill_lastuse_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,16,120,0,3,batch,ring,pingpong,fill_lastuse,1,0,0,20,none,0,289663.0,,,,,150.86614583333332,0.316672,,,,,218.93675229490822,127.15149555375909,7197,0.000000000,1,f479c1c15ff75e1e9de18d5cddebb96304743f46887427a7d855d942c41c7f7f,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_fp16_n256_q16_batch_ring_in1_pingpong_fill_lastuse_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,16,120,1,3,batch,ring,pingpong,fill_lastuse,1,0,0,20,none,0,289583.0,,,,,150.82447916666666,0.316864,,,,,218.99723561120643,127.07444960614019,7187,0.000000000,1,f479c1c15ff75e1e9de18d5cddebb96304743f46887427a7d855d942c41c7f7f,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_fp16_n256_q16_batch_ring_in1_pingpong_fill_lastuse_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,16,120,2,3,batch,ring,pingpong,fill_lastuse,1,0,0,20,none,0,289712.0,,,,,150.89166666666668,0.319584,,,,,218.89972275915395,125.99291078401923,7194,0.000000000,1,f479c1c15ff75e1e9de18d5cddebb96304743f46887427a7d855d942c41c7f7f,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
collector,v3_collector_bf16_n256_q16_batch_ring_in1_pingpong_fill_use_lastuse_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,16,120,0,4,batch,ring,pingpong,fill_use_lastuse,1,0,0,20,none,0,285342.0,,,,,148.615625,0.314592,,,,,222.25216224740836,127.99218797680807,7195,0.000000000,1,1361638aade6f3d09b3b1949b93b703f053e9e0ad51df68224e619f2c587fb86,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
