phase,case_id,valid,invalid_reason,gpu,compute_capability,driver,cuda_version,sm_clock_mhz,mem_clock_mhz,temperature_c,power_w,telemetry_status,dtype,n,q,iterations,repeat,run_order,mode,d_mode,addr_mode,collector,input_d,wait_hint,active_blocks_request,launch_blocks,interference,interference_ops,clock64_cycles,clock64_cycles_p10,clock64_cycles_p50,clock64_cycles_p90,clock64_cycles_cv,cycles_per_mma,event_ms,event_ms_p10,event_ms_p50,event_ms_p90,event_ms_cv,clock64_full_grid_tflops,event_wall_tflops,poll_count,max_abs_error,guard_ok,sass_hash,sass_utchmma,sass_trywait,sass_syncthreads,sass_ld_shared,sass_ld_global,sass_utcld,sass_utcst,notes
ingress,v2_ingress_fp16_n128_q16_batch_ring_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,16,120,0,1,batch,ring,same,discard,1,0,0,20,none,0,166392.0,,,,,86.6625,0.235968,,,,,190.56768498485502,85.31944670463793,4658,0.000000000,1,75ebaee2845ff6408ee078adb42a699a75a4794b3b368c1fefefd92b7e379f39,16,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ingress,v2_ingress_fp16_n128_q16_batch_ring_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,16,120,1,1,batch,ring,same,discard,1,0,0,20,none,0,166380.0,,,,,86.65625,0.249376,,,,,190.58142949873783,80.73214423200308,4674,0.000000000,1,75ebaee2845ff6408ee078adb42a699a75a4794b3b368c1fefefd92b7e379f39,16,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ingress,v2_ingress_fp16_n128_q16_batch_ring_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,128,16,120,2,1,batch,ring,same,discard,1,0,0,20,none,0,166157.0,,,,,86.54010416666667,0.235616,,,,,190.83720962703947,85.44691022680973,4671,0.000000000,1,75ebaee2845ff6408ee078adb42a699a75a4794b3b368c1fefefd92b7e379f39,16,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ingress,v2_ingress_bf16_n128_q16_batch_ring_in1_pingpong_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,0,2,batch,ring,pingpong,discard,1,0,0,20,none,0,166641.0,,,,,86.7921875,0.236896,,,,,190.2829330116838,84.9852222072133,4662,0.000000000,1,796ca68c248ef36ed4e248f9ae693b3f25f495fe194a1c3114b806bb28b12154,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ingress,v2_ingress_bf16_n128_q16_batch_ring_in1_pingpong_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,1,2,batch,ring,pingpong,discard,1,0,0,20,none,0,166626.0,,,,,86.784375,0.238592,,,,,190.30006265528792,84.38111587982833,4673,0.000000000,1,796ca68c248ef36ed4e248f9ae693b3f25f495fe194a1c3114b806bb28b12154,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ingress,v2_ingress_bf16_n128_q16_batch_ring_in1_pingpong_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,2,2,batch,ring,pingpong,discard,1,0,0,20,none,0,166515.0,,,,,86.7265625,0.2384,,,,,190.42691793532114,84.44907382550336,4682,0.000000000,1,796ca68c248ef36ed4e248f9ae693b3f25f495fe194a1c3114b806bb28b12154,16,5,18,7,4,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ingress,v2_ingress_bf16_n128_q16_batch_ring_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,0,3,batch,ring,same,discard,1,0,0,20,none,0,165961.0,,,,,86.43802083333334,0.235296,,,,,191.06258843945267,85.56311709506323,4675,0.000000000,1,907484e939ec449041ac90ee098902e3055d836f16458d1d38bc640b24506e0f,16,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ingress,v2_ingress_bf16_n128_q16_batch_ring_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,1,3,batch,ring,same,discard,1,0,0,20,none,0,166556.0,,,,,86.74791666666667,0.23664,,,,,190.38004178774707,85.07716024340772,4671,0.000000000,1,907484e939ec449041ac90ee098902e3055d836f16458d1d38bc640b24506e0f,16,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ingress,v2_ingress_bf16_n128_q16_batch_ring_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,2,3,batch,ring,same,discard,1,0,0,20,none,0,166374.0,,,,,86.653125,0.234784,,,,,190.5883024991886,85.74970696469947,4685,0.000000000,1,907484e939ec449041ac90ee098902e3055d836f16458d1d38bc640b24506e0f,16,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ingress,v2_ingress_fp16_n256_q16_batch_ring_in1_rotating_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,fp16,256,16,120,0,4,batch,ring,rotating,discard,1,0,0,20,none,0,297192.0,,,,,154.7875,0.326208,,,,,213.39025438100623,123.43449087698647,7198,0.000000000,1,2a62e77110a7a42d2b8cb946da401111d969a64df036afdce0c2acb621805d09,16,9,20,7,8,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
