phase,case_id,valid,invalid_reason,gpu,compute_capability,driver,cuda_version,sm_clock_mhz,mem_clock_mhz,temperature_c,power_w,telemetry_status,dtype,n,q,iterations,repeat,run_order,mode,d_mode,addr_mode,collector,input_d,wait_hint,active_blocks_request,launch_blocks,interference,interference_ops,clock64_cycles,clock64_cycles_p10,clock64_cycles_p50,clock64_cycles_p90,clock64_cycles_cv,cycles_per_mma,event_ms,event_ms_p10,event_ms_p50,event_ms_p90,event_ms_cv,clock64_full_grid_tflops,event_wall_tflops,poll_count,max_abs_error,guard_ok,sass_hash,sass_utchmma,sass_trywait,sass_syncthreads,sass_ld_shared,sass_ld_global,sass_utcld,sass_utcst,notes
ldshared,v2_ldshared_bf16_n128_q16_batch_ring_in1_same_discard_h0_b0_ld_shared_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,0,1,batch,ring,same,discard,1,0,0,20,ld_shared,0,315048.0,,,,,164.0875,0.535808,,,,,100.64795916812676,37.574390826564745,2400,0.000000000,1,896c536bf1d8073b95283e4007c720b4bc296b7c6029eb44044c1d905cf52269,16,3,49,279,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ldshared,v2_ldshared_bf16_n128_q16_batch_ring_in1_same_discard_h0_b0_ld_shared_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,1,1,batch,ring,same,discard,1,0,0,20,ld_shared,0,315008.0,,,,,164.06666666666666,0.530048,,,,,100.66073953677366,37.98270949046124,2400,0.000000000,1,896c536bf1d8073b95283e4007c720b4bc296b7c6029eb44044c1d905cf52269,16,3,49,279,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ldshared,v2_ldshared_bf16_n128_q16_batch_ring_in1_same_discard_h0_b0_ld_shared_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,2,1,batch,ring,same,discard,1,0,0,20,ld_shared,0,314975.0,,,,,164.04947916666666,0.533536,,,,,100.67128578458608,37.73439692916691,2400,0.000000000,1,896c536bf1d8073b95283e4007c720b4bc296b7c6029eb44044c1d905cf52269,16,3,49,279,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ldshared,v2_ldshared_bf16_n128_q16_batch_ring_in1_same_discard_h0_b0_register_alu_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,0,2,batch,ring,same,discard,1,0,0,20,register_alu,0,314462.0,,,,,163.78229166666668,0.533568,,,,,100.8355166602006,37.73213386110112,2400,0.000000000,1,f850866e5d6746de0392912d36de20f735fdc1b0bd620cf530686fb306baebef,16,3,81,39,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ldshared,v2_ldshared_bf16_n128_q16_batch_ring_in1_same_discard_h0_b0_register_alu_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,1,2,batch,ring,same,discard,1,0,0,20,register_alu,0,314714.0,,,,,163.91354166666667,0.531488,,,,,100.7547749385156,37.87980010837498,2400,0.000000000,1,f850866e5d6746de0392912d36de20f735fdc1b0bd620cf530686fb306baebef,16,3,81,39,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ldshared,v2_ldshared_bf16_n128_q16_batch_ring_in1_same_discard_h0_b0_register_alu_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,2,2,batch,ring,same,discard,1,0,0,20,register_alu,0,314697.0,,,,,163.9046875,0.53184,,,,,100.76021773324817,37.85472924187726,2400,0.000000000,1,f850866e5d6746de0392912d36de20f735fdc1b0bd620cf530686fb306baebef,16,3,81,39,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ldshared,v2_ldshared_bf16_n128_q16_batch_ring_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,0,3,batch,ring,same,discard,1,0,0,20,none,0,166457.0,,,,,86.69635416666667,0.235392,,,,,190.4932699736268,85.52822185970638,4668,0.000000000,1,907484e939ec449041ac90ee098902e3055d836f16458d1d38bc640b24506e0f,16,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ldshared,v2_ldshared_bf16_n128_q16_batch_ring_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,1,3,batch,ring,same,discard,1,0,0,20,none,0,166579.0,,,,,86.75989583333333,0.236416,,,,,190.3537555154011,85.15776935571196,4664,0.000000000,1,907484e939ec449041ac90ee098902e3055d836f16458d1d38bc640b24506e0f,16,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ldshared,v2_ldshared_bf16_n128_q16_batch_ring_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,2,3,batch,ring,same,discard,1,0,0,20,none,0,166515.0,,,,,86.7265625,0.235616,,,,,190.42691793532114,85.44691022680973,4687,0.000000000,1,907484e939ec449041ac90ee098902e3055d836f16458d1d38bc640b24506e0f,16,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
ldshared,v2_ldshared_bf16_n128_q16_batch_ring_in1_same_discard_h0_b0_ld_shared_ops32,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,0,4,batch,ring,same,discard,1,0,0,20,ld_shared,32,314457.0,,,,,163.7796875,1.090464,,,,,100.83711998778847,18.462470287877448,2400,0.000000000,1,896c536bf1d8073b95283e4007c720b4bc296b7c6029eb44044c1d905cf52269,16,3,49,279,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
