experiment,case_id,valid,invalid_reason,gpu,compute_capability,driver,cuda_version,ptx_version,sm_clock_mhz,mem_clock_mhz,temperature_c,power_w,dtype,m,n,k,Q,iterations,run_order,repeat,collector_mode,operand_address_mode,independent_d_count,d_reuse_distance,commit_interval,pending_mbarriers,wait_polling_mode,smem_layout,swizzle,alignment_bytes,lda,ldb,smem_base_offset,tmem_columns,d_base_column,d_tile_base_delta,d_alias_class,input_d,interference_mode,interference_ops_per_iter,interference_warps,resident_ctas,elapsed_cycles,elapsed_us,elapsed_cycles_p10,elapsed_cycles_p90,alpha_cycles,beta_cycles_per_mma,logical_smem_bytes_per_mma,effective_smem_bytes_per_cycle,tflops,tflops_p10,tflops_p90,poll_count,max_abs_error,guard_ok,sass_hash,notes
03_effective_smem_ingress,ingress_fp16_m128n64k16_rotating,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,64,16,64,128,1,0,discard,rotating,8,8,64,1,nocount,sw128,sw128,16,16,16,0,512,0,64,none,0,none,0,4,20,7257582.0,4607.988571428571,,,,,6144,,9.320698672367739,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,; UTCHMMA=21;UTCHMMA_WS=16;UTCBAR=1;UTCATOMSWS=3;SYNCS_TRYWAIT=8;LDS=21;LDG=9;ptx_tcgen05_mma=21;ptx_tcgen05_mma_ws=16;ptx_tcgen05_commit=1;ptx_tcgen05_alloc=1;ptx_tcgen05_dealloc=1;ptx_tcgen05_ld=5;ptx_tcgen05_st=5;ptx_mbarrier_wait=5;ptx_cp_async_tma=2;ptx_ld_shared=26;ptx_ld_global=7
03_effective_smem_ingress,ingress_fp16_m128n64k16_rotating,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,64,16,64,128,1,1,discard,rotating,8,8,64,1,nocount,sw128,sw128,16,16,16,0,512,0,64,none,0,none,0,4,20,7257580.0,4607.987301587301,,,,,6144,,9.320701240909505,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
03_effective_smem_ingress,ingress_fp16_m128n64k16_rotating,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,64,16,64,128,1,2,discard,rotating,8,8,64,1,nocount,sw128,sw128,16,16,16,0,512,0,64,none,0,none,0,4,20,7257581.0,4607.987936507936,,,,,6144,,9.320699956638446,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
03_effective_smem_ingress,ingress_fp16_m128n64k16_rotating,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,64,16,64,128,1,3,discard,rotating,8,8,64,1,nocount,sw128,sw128,16,16,16,0,512,0,64,none,0,none,0,4,20,7257581.0,4607.987936507936,,,,,6144,,9.320699956638446,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
03_effective_smem_ingress,ingress_fp16_m128n64k16_rotating,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,64,16,64,128,1,4,discard,rotating,8,8,64,1,nocount,sw128,sw128,16,16,16,0,512,0,64,none,0,none,0,4,20,7257578.0,4607.986031746032,,,,,6144,,9.320703809452686,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
03_effective_smem_ingress,ingress_bf16_m128n64k16_pingpong,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,64,16,64,128,2,0,discard,pingpong,8,8,64,1,nocount,sw128,sw128,16,16,16,0,512,0,64,none,0,none,0,4,20,7257578.0,4607.986031746032,,,,,6144,,9.320703809452686,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,; UTCHMMA=21;UTCHMMA_WS=16;UTCBAR=1;UTCATOMSWS=3;SYNCS_TRYWAIT=8;LDS=21;LDG=9;ptx_tcgen05_mma=21;ptx_tcgen05_mma_ws=16;ptx_tcgen05_commit=1;ptx_tcgen05_alloc=1;ptx_tcgen05_dealloc=1;ptx_tcgen05_ld=5;ptx_tcgen05_st=5;ptx_mbarrier_wait=5;ptx_cp_async_tma=2;ptx_ld_shared=26;ptx_ld_global=7
03_effective_smem_ingress,ingress_bf16_m128n64k16_pingpong,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,64,16,64,128,2,1,discard,pingpong,8,8,64,1,nocount,sw128,sw128,16,16,16,0,512,0,64,none,0,none,0,4,20,7257582.0,4607.988571428571,,,,,6144,,9.320698672367739,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
03_effective_smem_ingress,ingress_bf16_m128n64k16_pingpong,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,64,16,64,128,2,2,discard,pingpong,8,8,64,1,nocount,sw128,sw128,16,16,16,0,512,0,64,none,0,none,0,4,20,7257583.0,4607.989206349207,,,,,6144,,9.320697388097386,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
03_effective_smem_ingress,ingress_bf16_m128n64k16_pingpong,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,64,16,64,128,2,3,discard,pingpong,8,8,64,1,nocount,sw128,sw128,16,16,16,0,512,0,64,none,0,none,0,4,20,7257581.0,4607.987936507936,,,,,6144,,9.320699956638446,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
03_effective_smem_ingress,ingress_bf16_m128n64k16_pingpong,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,64,16,64,128,2,4,discard,pingpong,8,8,64,1,nocount,sw128,sw128,16,16,16,0,512,0,64,none,0,none,0,4,20,7257580.0,4607.987301587301,,,,,6144,,9.320701240909505,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
