experiment,case_id,valid,invalid_reason,gpu,compute_capability,driver,cuda_version,ptx_version,sm_clock_mhz,mem_clock_mhz,temperature_c,power_w,dtype,m,n,k,Q,iterations,run_order,repeat,collector_mode,operand_address_mode,independent_d_count,d_reuse_distance,commit_interval,pending_mbarriers,wait_polling_mode,smem_layout,swizzle,alignment_bytes,lda,ldb,smem_base_offset,tmem_columns,d_base_column,d_tile_base_delta,d_alias_class,input_d,interference_mode,interference_ops_per_iter,interference_warps,resident_ctas,elapsed_cycles,elapsed_us,elapsed_cycles_p10,elapsed_cycles_p90,alpha_cycles,beta_cycles_per_mma,logical_smem_bytes_per_mma,effective_smem_bytes_per_cycle,tflops,tflops_p10,tflops_p90,poll_count,max_abs_error,guard_ok,sass_hash,notes
04_smem_layout_address,layout_fp16_m128n128k16_sw128_off32,0,misaligned address,,,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,32,128,1,0,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,32,512,0,128,none,0,none,0,4,,nan,nan,,,,,8192,,,,,,nan,0,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,; UTCHMMA=21;UTCHMMA_WS=16;UTCBAR=1;UTCATOMSWS=3;SYNCS_TRYWAIT=8;LDS=21;LDG=9;ptx_tcgen05_mma=21;ptx_tcgen05_mma_ws=16;ptx_tcgen05_commit=1;ptx_tcgen05_alloc=1;ptx_tcgen05_dealloc=1;ptx_tcgen05_ld=5;ptx_tcgen05_st=5;ptx_mbarrier_wait=5;ptx_cp_async_tma=2;ptx_ld_shared=26;ptx_ld_global=7
04_smem_layout_address,layout_fp16_m128n128k16_sw128_off32,0,misaligned address,,,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,32,128,1,1,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,32,512,0,128,none,0,none,0,4,,nan,nan,,,,,8192,,,,,,nan,0,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
04_smem_layout_address,layout_fp16_m128n128k16_sw128_off32,0,misaligned address,,,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,32,128,1,2,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,32,512,0,128,none,0,none,0,4,,nan,nan,,,,,8192,,,,,,nan,0,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
04_smem_layout_address,layout_fp16_m128n128k16_sw128_off32,0,misaligned address,,,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,32,128,1,3,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,32,512,0,128,none,0,none,0,4,,nan,nan,,,,,8192,,,,,,nan,0,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
04_smem_layout_address,layout_fp16_m128n128k16_sw128_off32,0,misaligned address,,,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,32,128,1,4,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,32,512,0,128,none,0,none,0,4,,nan,nan,,,,,8192,,,,,,nan,0,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
04_smem_layout_address,layout_bf16_m128n64k16_sw64_off256,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,64,16,32,128,2,0,discard,same,8,8,32,1,nocount,sw64,sw64,16,16,16,256,512,0,64,none,0,none,0,4,20,3562091.0,2261.6450793650793,,,,,6144,,9.495228352111162,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,; UTCHMMA=21;UTCHMMA_WS=16;UTCBAR=1;UTCATOMSWS=3;SYNCS_TRYWAIT=8;LDS=21;LDG=9;ptx_tcgen05_mma=21;ptx_tcgen05_mma_ws=16;ptx_tcgen05_commit=1;ptx_tcgen05_alloc=1;ptx_tcgen05_dealloc=1;ptx_tcgen05_ld=5;ptx_tcgen05_st=5;ptx_mbarrier_wait=5;ptx_cp_async_tma=2;ptx_ld_shared=26;ptx_ld_global=7
04_smem_layout_address,layout_bf16_m128n64k16_sw64_off256,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,64,16,32,128,2,1,discard,same,8,8,32,1,nocount,sw64,sw64,16,16,16,256,512,0,64,none,0,none,0,4,20,3562092.0,2261.6457142857143,,,,,6144,,9.49522568647862,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
04_smem_layout_address,layout_bf16_m128n64k16_sw64_off256,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,64,16,32,128,2,2,discard,same,8,8,32,1,nocount,sw64,sw64,16,16,16,256,512,0,64,none,0,none,0,4,20,3562091.0,2261.6450793650793,,,,,6144,,9.495228352111162,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
04_smem_layout_address,layout_bf16_m128n64k16_sw64_off256,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,64,16,32,128,2,3,discard,same,8,8,32,1,nocount,sw64,sw64,16,16,16,256,512,0,64,none,0,none,0,4,20,3562091.0,2261.6450793650793,,,,,6144,,9.495228352111162,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
04_smem_layout_address,layout_bf16_m128n64k16_sw64_off256,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,64,16,32,128,2,4,discard,same,8,8,32,1,nocount,sw64,sw64,16,16,16,256,512,0,64,none,0,none,0,4,20,3562081.0,2261.63873015873,,,,,6144,,9.495255008518896,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,
