experiment,case_id,valid,invalid_reason,gpu,compute_capability,driver,cuda_version,ptx_version,sm_clock_mhz,mem_clock_mhz,temperature_c,power_w,dtype,m,n,k,Q,iterations,run_order,repeat,collector_mode,operand_address_mode,independent_d_count,d_reuse_distance,commit_interval,pending_mbarriers,wait_polling_mode,smem_layout,swizzle,alignment_bytes,lda,ldb,smem_base_offset,tmem_columns,d_base_column,d_tile_base_delta,d_alias_class,input_d,interference_mode,interference_ops_per_iter,interference_warps,resident_ctas,elapsed_cycles,elapsed_us,elapsed_cycles_p10,elapsed_cycles_p90,alpha_cycles,beta_cycles_per_mma,logical_smem_bytes_per_mma,effective_smem_bytes_per_cycle,tflops,tflops_p10,tflops_p90,poll_count,max_abs_error,guard_ok,sass_hash,notes
05_ldshared_contention,ldcont_fp16_ld_shared_ops128,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,32,128,1,0,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,ld_shared,128,4,20,64533067.0,40973.37587301587,,,,,8192,,1.0482336894355262,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,fixed active warp count; UTCHMMA=21;UTCHMMA_WS=16;UTCBAR=1;UTCATOMSWS=3;SYNCS_TRYWAIT=8;LDS=21;LDG=9;ptx_tcgen05_mma=21;ptx_tcgen05_mma_ws=16;ptx_tcgen05_commit=1;ptx_tcgen05_alloc=1;ptx_tcgen05_dealloc=1;ptx_tcgen05_ld=5;ptx_tcgen05_st=5;ptx_mbarrier_wait=5;ptx_cp_async_tma=2;ptx_ld_shared=26;ptx_ld_global=7
05_ldshared_contention,ldcont_fp16_ld_shared_ops128,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,32,128,1,1,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,ld_shared,128,4,20,64533089.0,40973.38984126985,,,,,8192,,1.048233332081779,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,fixed active warp count
05_ldshared_contention,ldcont_fp16_ld_shared_ops128,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,32,128,1,2,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,ld_shared,128,4,20,64533067.0,40973.37587301587,,,,,8192,,1.0482336894355262,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,fixed active warp count
05_ldshared_contention,ldcont_fp16_ld_shared_ops128,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,32,128,1,3,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,ld_shared,128,4,20,64533069.0,40973.37714285714,,,,,8192,,1.0482336569488118,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,fixed active warp count
05_ldshared_contention,ldcont_fp16_ld_shared_ops128,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,fp16,128,128,16,32,128,1,4,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,ld_shared,128,4,20,64533049.0,40973.36444444444,,,,,8192,,1.048233981816046,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,fixed active warp count
05_ldshared_contention,ldcont_bf16_predicated_off_load_ops32,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,128,16,32,128,2,0,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,predicated_off_load,32,4,20,16674375.0,10586.904761904763,,,,,8192,,4.056867793365568,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,fixed active warp count; UTCHMMA=21;UTCHMMA_WS=16;UTCBAR=1;UTCATOMSWS=3;SYNCS_TRYWAIT=8;LDS=21;LDG=9;ptx_tcgen05_mma=21;ptx_tcgen05_mma_ws=16;ptx_tcgen05_commit=1;ptx_tcgen05_alloc=1;ptx_tcgen05_dealloc=1;ptx_tcgen05_ld=5;ptx_tcgen05_st=5;ptx_mbarrier_wait=5;ptx_cp_async_tma=2;ptx_ld_shared=26;ptx_ld_global=7
05_ldshared_contention,ldcont_bf16_predicated_off_load_ops32,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,128,16,32,128,2,1,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,predicated_off_load,32,4,20,16674020.0,10586.679365079366,,,,,8192,,4.056954166541722,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,fixed active warp count
05_ldshared_contention,ldcont_bf16_predicated_off_load_ops32,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,128,16,32,128,2,2,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,predicated_off_load,32,4,20,16673394.0,10586.281904761905,,,,,8192,,4.057106484258694,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,fixed active warp count
05_ldshared_contention,ldcont_bf16_predicated_off_load_ops32,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,128,16,32,128,2,3,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,predicated_off_load,32,4,20,16674354.0,10586.891428571429,,,,,8192,,4.056872902662375,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,fixed active warp count
05_ldshared_contention,ldcont_bf16_predicated_off_load_ops32,1,,NVIDIA Thor,11.0,580.00,13.0,PTX ISA 9.3 / CUDA 13.0,1575.000,,,,bf16,128,128,16,32,128,2,4,discard,same,4,4,32,1,nocount,sw128,sw128,16,16,16,0,512,0,128,none,0,predicated_off_load,32,4,20,16674401.0,10586.92126984127,,,,,8192,,4.0568614675873516,,,0,0.0,1,bf14b28d2af4128daa99f23eec8a5e105636d0b04136f8be580fdc39d6f1f97d,fixed active warp count
