phase,case_id,valid,invalid_reason,gpu,compute_capability,driver,cuda_version,sm_clock_mhz,mem_clock_mhz,temperature_c,power_w,telemetry_status,dtype,n,q,iterations,repeat,run_order,mode,d_mode,addr_mode,collector,input_d,wait_hint,active_blocks_request,launch_blocks,interference,interference_ops,clock64_cycles,clock64_cycles_p10,clock64_cycles_p50,clock64_cycles_p90,clock64_cycles_cv,cycles_per_mma,event_ms,event_ms_p10,event_ms_p50,event_ms_p90,event_ms_cv,clock64_full_grid_tflops,event_wall_tflops,poll_count,max_abs_error,guard_ok,sass_hash,sass_utchmma,sass_trywait,sass_syncthreads,sass_ld_shared,sass_ld_global,sass_utcld,sass_utcst,notes
tmem,v2_tmem_bf16_n128_q16_batch_same_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,0,1,batch,same,same,discard,0,0,0,20,none,0,166509.0,,,,,86.7234375,0.235808,,,,,190.43377979568672,85.3773374949111,4682,0.000000000,1,ff7c1f0bb8313f33aee49d49f28d53b1e91ac6dabd57dbeda308422f1dbe859e,16,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
tmem,v2_tmem_bf16_n128_q16_batch_same_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,1,1,batch,same,same,discard,0,0,0,20,none,0,166492.0,,,,,86.71458333333334,0.234976,,,,,190.45322441919132,85.67964047392076,4673,0.000000000,1,ff7c1f0bb8313f33aee49d49f28d53b1e91ac6dabd57dbeda308422f1dbe859e,16,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
tmem,v2_tmem_bf16_n128_q16_batch_same_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,2,1,batch,same,same,discard,0,0,0,20,none,0,166625.0,,,,,86.78385416666667,0.2352,,,,,190.3012047411853,85.59804081632653,4669,0.000000000,1,ff7c1f0bb8313f33aee49d49f28d53b1e91ac6dabd57dbeda308422f1dbe859e,16,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
tmem,v2_tmem_bf16_n256_q16_batch_same_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,16,120,0,2,batch,same,same,discard,0,0,0,20,none,0,297270.0,,,,,154.828125,0.31984,,,,,213.3342633969119,125.89206603301652,7200,0.000000000,1,1697f0c68da756b6ee0399272054a866c2e13a9a982353dd40123aee1a69a07b,16,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
tmem,v2_tmem_bf16_n256_q16_batch_same_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,16,120,1,2,batch,same,same,discard,0,0,0,20,none,0,297160.0,,,,,154.77083333333334,0.318304,,,,,213.41323354421863,126.49956770885694,7194,0.000000000,1,1697f0c68da756b6ee0399272054a866c2e13a9a982353dd40123aee1a69a07b,16,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
tmem,v2_tmem_bf16_n256_q16_batch_same_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,16,120,2,2,batch,same,same,discard,0,0,0,20,none,0,297310.0,,,,,154.84895833333334,0.321568,,,,,213.3055614678282,125.21556373768534,7200,0.000000000,1,1697f0c68da756b6ee0399272054a866c2e13a9a982353dd40123aee1a69a07b,16,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
tmem,v2_tmem_bf16_n256_q16_batch_ring_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,16,120,0,3,batch,ring,same,discard,0,0,0,20,none,0,297112.0,,,,,154.74583333333334,0.317792,,,,,213.44771157004766,126.70337327560163,7200,0.000000000,1,97041a66b1b480dee878a61bb8873198922e3a0786c7d80f8d629dc3a54b7f30,16,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
tmem,v2_tmem_bf16_n256_q16_batch_ring_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,16,120,1,3,batch,ring,same,discard,0,0,0,20,none,0,297273.0,,,,,154.8296875,0.321504,,,,,213.33211048430232,125.24048969841743,7200,0.000000000,1,97041a66b1b480dee878a61bb8873198922e3a0786c7d80f8d629dc3a54b7f30,16,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
tmem,v2_tmem_bf16_n256_q16_batch_ring_in0_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,16,120,2,3,batch,ring,same,discard,0,0,0,20,none,0,297081.0,,,,,154.7296875,0.320096,,,,,213.46998454966825,125.79138258522445,7196,0.000000000,1,97041a66b1b480dee878a61bb8873198922e3a0786c7d80f8d629dc3a54b7f30,16,3,17,7,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
tmem,v2_tmem_bf16_n128_q16_batch_same_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,0,4,batch,same,same,discard,1,0,0,20,none,0,166653.0,,,,,86.7984375,0.234848,,,,,190.2692315169844,85.72633873824772,4660,0.000000000,1,911cdbdb26045b4c41a79d5eb5aadea3e23f8dd3589602a8610ca2915fd50242,16,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
tmem,v2_tmem_bf16_n128_q16_batch_same_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,1,4,batch,same,same,discard,1,0,0,20,none,0,166654.0,,,,,86.79895833333333,0.23584,,,,,190.26808981482594,85.36575305291723,4674,0.000000000,1,911cdbdb26045b4c41a79d5eb5aadea3e23f8dd3589602a8610ca2915fd50242,16,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
tmem,v2_tmem_bf16_n128_q16_batch_same_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,128,16,120,2,4,batch,same,same,discard,1,0,0,20,none,0,166707.0,,,,,86.8265625,0.236192,,,,,190.20759920099334,85.23853136431379,4675,0.000000000,1,911cdbdb26045b4c41a79d5eb5aadea3e23f8dd3589602a8610ca2915fd50242,16,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
tmem,v2_tmem_bf16_n256_q16_batch_same_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,16,120,0,5,batch,same,same,discard,1,0,0,20,none,0,297265.0,,,,,154.82552083333334,0.320544,,,,,213.33785168115992,125.6155735250075,7200,0.000000000,1,5adf26d5ff06d5920cf44a22426e24464501b10bc62c29c5e3bae7df89e1424e,16,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
tmem,v2_tmem_bf16_n256_q16_batch_same_in1_same_discard_h0_b0_none_ops0,1,,NVIDIA Thor,11.0,580.00,13.0,1575.000,,,,mem_clock_mhz:unavailable;temperature_c:unavailable;power_w:unavailable;sm_clock_mhz:sysfs_or_default,bf16,256,16,120,1,5,batch,same,same,discard,1,0,0,20,none,0,297161.0,,,,,154.77135416666667,0.318656,,,,,213.41251537045574,126.35983129142399,7198,0.000000000,1,5adf26d5ff06d5920cf44a22426e24464501b10bc62c29c5e3bae7df89e1424e,16,3,19,10,2,0,0,"static single-case binary; CUDA event includes setup/readback, clock64 covers timed window"
