precision,shape,k_blocks,k_tile,ss_mainloop_tflops,ss_mainloop_peak_ratio,cycles_per_cta_k_tile,cycles_per_mma
FP4,M128N256,2,128,537.042,51.89,492.031,246.016
FP4,M128N256,4,256,711.248,68.72,743.035,185.759
FP4,M128N256,8,512,836.181,80.79,1264.038,158.005
FP4,M128N256,16,1024,921.887,89.07,2293.045,143.315
FP4,M128N128,2,128,331.935,32.07,398.031,199.016
FP4,M128N128,4,256,452.06,43.68,584.526,146.132
FP4,M128N128,8,512,688.999,66.57,767.029,95.879
FP4,M128N128,16,1024,832.884,80.47,1269.041,79.315
FP4,M128N64,2,128,213.081,20.59,310.024,155.012
FP4,M128N64,4,256,327.819,31.67,403.029,100.757
FP4,M128N64,8,512,447.091,43.2,591.023,73.878
FP4,M128N64,16,1024,513.069,49.57,1030.042,64.378
FP8,M128N256,2,64,268.521,51.94,492.031,246.015
FP8,M128N256,4,128,356.1,68.88,742.041,185.51
FP8,M128N256,8,256,418.423,80.93,1263.033,157.879
FP8,M128N256,16,512,461.145,89.2,2292.045,143.253
FP8,M128N128,2,64,165.968,32.1,398.031,199.015
FP8,M128N128,4,128,226.03,43.72,584.526,146.132
FP8,M128N128,8,256,344.5,66.63,767.029,95.879
FP8,M128N128,16,512,416.771,80.61,1268.041,79.253
FP8,M128N64,2,64,106.541,20.61,310.024,155.012
FP8,M128N64,4,128,164.113,31.74,402.529,100.632
FP8,M128N64,8,256,223.925,43.31,590.023,73.753
FP8,M128N64,16,512,256.535,49.62,1030.041,64.378
BF16,M128N256,2,32,134.26,51.94,492.031,246.016
BF16,M128N256,4,64,178.049,68.88,742.044,185.511
BF16,M128N256,8,128,209.21,80.93,1263.042,157.88
BF16,M128N256,16,256,230.572,89.2,2292.049,143.253
BF16,M128N128,2,32,82.984,32.1,398.031,199.015
BF16,M128N128,4,64,113.015,43.72,584.526,146.132
BF16,M128N128,8,128,172.25,66.63,767.029,95.879
BF16,M128N128,16,256,208.385,80.61,1268.041,79.253
BF16,M128N64,2,32,53.27,20.61,310.024,155.012
BF16,M128N64,4,64,82.057,31.74,402.529,100.632
BF16,M128N64,8,128,111.962,43.31,590.023,73.753
BF16,M128N64,16,256,128.267,49.62,1030.041,64.378
