case,metric,speedup_vs_ss_mma_only
SS MMA-only,BF16-N64,1.0
SS MMA-only,BF16-N128,1.0
SS MMA-only,BF16-N256,1.0
SS MMA-only,FP8-N64,1.0
SS MMA-only,FP8-N128,1.0
SS MMA-only,FP8-N256,1.0
SS MMA-only,FP4-N64,1.0
SS MMA-only,FP4-N128,1.0
SS MMA-only,FP4-N256,1.0
TS MMA-only,BF16-N64,1.0
TS MMA-only,BF16-N128,1.0
TS MMA-only,BF16-N256,1.27
TS MMA-only,FP8-N64,1.0
TS MMA-only,FP8-N128,1.0
TS MMA-only,FP8-N256,1.27
TS MMA-only,FP4-N64,1.0
TS MMA-only,FP4-N128,1.17
TS MMA-only,FP4-N256,1.27
SS MMA Mainloop K2,BF16-N64,1.72
SS MMA Mainloop K2,BF16-N128,1.34
SS MMA Mainloop K2,BF16-N256,1.82
SS MMA Mainloop K2,FP8-N64,1.72
SS MMA Mainloop K2,FP8-N128,1.34
SS MMA Mainloop K2,FP8-N256,1.82
SS MMA Mainloop K2,FP4-N64,1.72
SS MMA Mainloop K2,FP4-N128,1.56
SS MMA Mainloop K2,FP4-N256,1.82
SS MMA Mainloop K4,BF16-N64,2.64
SS MMA Mainloop K4,BF16-N128,1.82
SS MMA Mainloop K4,BF16-N256,2.42
SS MMA Mainloop K4,FP8-N64,2.64
SS MMA Mainloop K4,FP8-N128,1.82
SS MMA Mainloop K4,FP8-N256,2.42
SS MMA Mainloop K4,FP4-N64,2.64
SS MMA Mainloop K4,FP4-N128,2.12
SS MMA Mainloop K4,FP4-N256,2.41
SS MMA Mainloop K8,BF16-N64,3.61
SS MMA Mainloop K8,BF16-N128,2.78
SS MMA Mainloop K8,BF16-N256,2.84
SS MMA Mainloop K8,FP8-N64,3.61
SS MMA Mainloop K8,FP8-N128,2.78
SS MMA Mainloop K8,FP8-N256,2.84
SS MMA Mainloop K8,FP4-N64,3.6
SS MMA Mainloop K8,FP4-N128,3.23
SS MMA Mainloop K8,FP4-N256,2.84
SS MMA Mainloop K16,BF16-N64,4.13
SS MMA Mainloop K16,BF16-N128,3.36
SS MMA Mainloop K16,BF16-N256,3.13
SS MMA Mainloop K16,FP8-N64,4.13
SS MMA Mainloop K16,FP8-N128,3.36
SS MMA Mainloop K16,FP8-N256,3.13
SS MMA Mainloop K16,FP4-N64,4.13
SS MMA Mainloop K16,FP4-N128,3.91
SS MMA Mainloop K16,FP4-N256,3.13
TS CP+MMA Mainloop A2 K2,BF16-N64,0.86
TS CP+MMA Mainloop A2 K2,BF16-N128,0.87
TS CP+MMA Mainloop A2 K2,BF16-N256,1.12
TS CP+MMA Mainloop A2 K2,FP8-N64,0.86
TS CP+MMA Mainloop A2 K2,FP8-N128,0.87
TS CP+MMA Mainloop A2 K2,FP8-N256,1.12
TS CP+MMA Mainloop A2 K2,FP4-N64,0.86
TS CP+MMA Mainloop A2 K2,FP4-N128,1.01
TS CP+MMA Mainloop A2 K2,FP4-N256,1.12
TS CP+MMA Mainloop A2 K4,BF16-N64,0.86
TS CP+MMA Mainloop A2 K4,BF16-N128,0.87
TS CP+MMA Mainloop A2 K4,BF16-N256,1.12
TS CP+MMA Mainloop A2 K4,FP8-N64,0.86
TS CP+MMA Mainloop A2 K4,FP8-N128,0.87
TS CP+MMA Mainloop A2 K4,FP8-N256,1.12
TS CP+MMA Mainloop A2 K4,FP4-N64,0.86
TS CP+MMA Mainloop A2 K4,FP4-N128,1.01
TS CP+MMA Mainloop A2 K4,FP4-N256,1.12
TS CP+MMA Mainloop A2 K8,BF16-N64,0.86
TS CP+MMA Mainloop A2 K8,BF16-N128,0.86
TS CP+MMA Mainloop A2 K8,BF16-N256,1.12
TS CP+MMA Mainloop A2 K8,FP8-N64,0.86
TS CP+MMA Mainloop A2 K8,FP8-N128,0.86
TS CP+MMA Mainloop A2 K8,FP8-N256,1.12
TS CP+MMA Mainloop A2 K8,FP4-N64,0.86
TS CP+MMA Mainloop A2 K8,FP4-N128,1.0
TS CP+MMA Mainloop A2 K8,FP4-N256,1.12
TS CP+MMA Mainloop A2 K16,BF16-N64,0.86
TS CP+MMA Mainloop A2 K16,BF16-N128,0.87
TS CP+MMA Mainloop A2 K16,BF16-N256,1.13
TS CP+MMA Mainloop A2 K16,FP8-N64,0.86
TS CP+MMA Mainloop A2 K16,FP8-N128,0.87
TS CP+MMA Mainloop A2 K16,FP8-N256,1.13
TS CP+MMA Mainloop A2 K16,FP4-N64,0.86
TS CP+MMA Mainloop A2 K16,FP4-N128,1.01
TS CP+MMA Mainloop A2 K16,FP4-N256,1.13
TS CP+MMA Serial A1,BF16-N64,0.5
TS CP+MMA Serial A1,BF16-N128,0.5
TS CP+MMA Serial A1,BF16-N256,0.73
TS CP+MMA Serial A1,FP8-N64,0.5
TS CP+MMA Serial A1,FP8-N128,0.5
TS CP+MMA Serial A1,FP8-N256,0.73
TS CP+MMA Serial A1,FP4-N64,0.5
TS CP+MMA Serial A1,FP4-N128,0.59
TS CP+MMA Serial A1,FP4-N256,0.73
TS CP+MMA Overlap A2,BF16-N64,0.86
TS CP+MMA Overlap A2,BF16-N128,0.86
TS CP+MMA Overlap A2,BF16-N256,1.13
TS CP+MMA Overlap A2,FP8-N64,0.86
TS CP+MMA Overlap A2,FP8-N128,0.86
TS CP+MMA Overlap A2,FP8-N256,1.13
TS CP+MMA Overlap A2,FP4-N64,0.86
TS CP+MMA Overlap A2,FP4-N128,1.0
TS CP+MMA Overlap A2,FP4-N256,1.13
TS CP+MMA Warp Split A2,BF16-N64,0.6
TS CP+MMA Warp Split A2,BF16-N128,0.61
TS CP+MMA Warp Split A2,BF16-N256,1.02
TS CP+MMA Warp Split A2,FP8-N64,0.6
TS CP+MMA Warp Split A2,FP8-N128,0.61
TS CP+MMA Warp Split A2,FP8-N256,1.02
TS CP+MMA Warp Split A2,FP4-N64,0.61
TS CP+MMA Warp Split A2,FP4-N128,0.71
TS CP+MMA Warp Split A2,FP4-N256,1.02
