case,metric,tflops
SS MMA-only,BF16-N64,31.041
SS MMA-only,BF16-N128,61.966
SS MMA-only,BF16-N256,73.726
SS MMA-only,FP8-N64,62.083
SS MMA-only,FP8-N128,123.933
SS MMA-only,FP8-N256,147.451
SS MMA-only,FP4-N64,124.165
SS MMA-only,FP4-N128,213.08
SS MMA-only,FP4-N256,294.902
TS MMA-only,BF16-N64,31.041
TS MMA-only,BF16-N128,62.083
TS MMA-only,BF16-N256,93.3
TS MMA-only,FP8-N64,62.083
TS MMA-only,FP8-N128,124.166
TS MMA-only,FP8-N256,186.599
TS MMA-only,FP4-N64,124.166
TS MMA-only,FP4-N128,248.331
TS MMA-only,FP4-N256,373.198
SS MMA Mainloop K2,BF16-N64,53.27
SS MMA Mainloop K2,BF16-N128,82.984
SS MMA Mainloop K2,BF16-N256,134.26
SS MMA Mainloop K2,FP8-N64,106.541
SS MMA Mainloop K2,FP8-N128,165.968
SS MMA Mainloop K2,FP8-N256,268.521
SS MMA Mainloop K2,FP4-N64,213.081
SS MMA Mainloop K2,FP4-N128,331.935
SS MMA Mainloop K2,FP4-N256,537.042
SS MMA Mainloop K4,BF16-N64,82.057
SS MMA Mainloop K4,BF16-N128,113.015
SS MMA Mainloop K4,BF16-N256,178.049
SS MMA Mainloop K4,FP8-N64,164.113
SS MMA Mainloop K4,FP8-N128,226.03
SS MMA Mainloop K4,FP8-N256,356.1
SS MMA Mainloop K4,FP4-N64,327.819
SS MMA Mainloop K4,FP4-N128,452.06
SS MMA Mainloop K4,FP4-N256,711.248
SS MMA Mainloop K8,BF16-N64,111.962
SS MMA Mainloop K8,BF16-N128,172.25
SS MMA Mainloop K8,BF16-N256,209.21
SS MMA Mainloop K8,FP8-N64,223.925
SS MMA Mainloop K8,FP8-N128,344.5
SS MMA Mainloop K8,FP8-N256,418.423
SS MMA Mainloop K8,FP4-N64,447.091
SS MMA Mainloop K8,FP4-N128,688.999
SS MMA Mainloop K8,FP4-N256,836.181
SS MMA Mainloop K16,BF16-N64,128.267
SS MMA Mainloop K16,BF16-N128,208.385
SS MMA Mainloop K16,BF16-N256,230.572
SS MMA Mainloop K16,FP8-N64,256.535
SS MMA Mainloop K16,FP8-N128,416.771
SS MMA Mainloop K16,FP8-N256,461.145
SS MMA Mainloop K16,FP4-N64,513.069
SS MMA Mainloop K16,FP4-N128,832.884
SS MMA Mainloop K16,FP4-N256,921.887
TS CP+MMA Mainloop A2 K2,BF16-N64,26.831
TS CP+MMA Mainloop A2 K2,BF16-N128,53.662
TS CP+MMA Mainloop A2 K2,BF16-N256,82.572
TS CP+MMA Mainloop A2 K2,FP8-N64,53.662
TS CP+MMA Mainloop A2 K2,FP8-N128,107.324
TS CP+MMA Mainloop A2 K2,FP8-N256,165.145
TS CP+MMA Mainloop A2 K2,FP4-N64,107.324
TS CP+MMA Mainloop A2 K2,FP4-N128,214.647
TS CP+MMA Mainloop A2 K2,FP4-N256,331.221
TS CP+MMA Mainloop A2 K4,BF16-N64,26.831
TS CP+MMA Mainloop A2 K4,BF16-N128,53.663
TS CP+MMA Mainloop A2 K4,BF16-N256,82.806
TS CP+MMA Mainloop A2 K4,FP8-N64,53.663
TS CP+MMA Mainloop A2 K4,FP8-N128,107.325
TS CP+MMA Mainloop A2 K4,FP8-N256,165.613
TS CP+MMA Mainloop A2 K4,FP4-N64,107.325
TS CP+MMA Mainloop A2 K4,FP4-N128,214.651
TS CP+MMA Mainloop A2 K4,FP4-N256,331.018
TS CP+MMA Mainloop A2 K8,BF16-N64,26.752
