case,precision,shape,path,mode,noise_cp_per_mma,tflops,tflops_min,tflops_max,peak_ratio,cycles_per_cta_iter,cycles_per_mma,cp_inst,bytes_per_cycle,slowdown_vs_control
ss_mainloop_k16_base,FP4,M128N256,SS,same,0,921.886,921.883,921.89,89.07,2293.048,143.316,0,0.0,1.0
ss_mainloop_k16_cp_noise_same_n1,FP4,M128N256,SS,same,1,905.308,905.304,905.309,87.47,2335.039,145.94,3200000,280.663,0.982
ss_mainloop_k16_cp_noise_same_n2,FP4,M128N256,SS,same,2,735.014,735.014,735.014,71.02,2876.04,179.753,6400000,455.738,0.797
ss_mainloop_k16_cp_noise_same_n4,FP4,M128N256,SS,same,4,532.068,532.068,532.068,51.41,3973.041,248.315,12800000,659.807,0.577
ss_mainloop_k16_cp_noise_same_n8,FP4,M128N256,SS,same,8,311.834,311.834,311.834,30.13,6779.032,423.689,25600000,773.397,0.338
ss_mainloop_k16_split_base,FP4,M128N256,SS,split,0,910.354,910.351,910.358,87.96,2322.095,145.131,0,0.0,1.0
ss_mainloop_k16_cp_noise_split_n1,FP4,M128N256,SS,split,1,884.104,884.104,884.104,85.42,2391.041,149.44,3200000,274.09,0.971
ss_mainloop_k16_cp_noise_split_n2,FP4,M128N256,SS,split,2,507.799,507.799,507.799,49.06,4162.928,260.183,6400000,314.855,0.558
ss_mainloop_k16_cp_noise_split_n4,FP4,M128N256,SS,split,4,404.973,404.973,404.973,39.13,5219.927,326.245,12800000,502.199,0.445
ss_mainloop_k16_cp_noise_split_n8,FP4,M128N256,SS,split,8,262.081,262.081,262.081,25.32,8065.936,504.121,25600000,650.003,0.288
ts_mainloop_a2_k16_base,FP4,M128N256,TS,same,0,332.272,332.272,332.272,32.1,6362.039,397.627,3200000,103.011,1.0
ts_mainloop_a2_k16_extra_cp_same_n1,FP4,M128N256,TS,same,1,299.167,299.167,299.167,28.91,7066.04,441.628,6400000,185.496,0.9
ts_mainloop_a2_k16_extra_cp_same_n2,FP4,M128N256,TS,same,2,272.062,272.062,272.062,26.29,7770.041,485.628,9600000,253.033,0.819
ts_mainloop_a2_k16_extra_cp_same_n4,FP4,M128N256,TS,same,4,229.3,229.3,229.3,22.15,9219.041,576.19,16000000,355.438,0.69
ts_mainloop_a2_k16_extra_cp_same_n8,FP4,M128N256,TS,same,8,175.721,175.721,175.721,16.98,12030.041,751.878,28800000,490.293,0.529
ts_mainloop_a2_k16_split_base,FP4,M128N256,TS,split,0,291.014,291.014,291.014,28.12,7264.013,454.001,3200000,90.22,1.0
ts_mainloop_a2_k16_extra_cp_split_n1,FP4,M128N256,TS,split,1,262.894,262.893,262.992,25.4,8041.01,502.563,6400000,163.004,0.903
ts_mainloop_a2_k16_extra_cp_split_n2,FP4,M128N256,TS,split,2,239.647,239.632,239.729,23.15,8821.011,551.313,9600000,222.886,0.823
ts_mainloop_a2_k16_extra_cp_split_n4,FP4,M128N256,TS,split,4,205.775,205.764,205.835,19.88,10273.011,642.063,16000000,318.972,0.707
