precision,shape,k_blocks,k_tile,ts_cp_mma_mainloop_a2_tflops,ts_cp_mma_mainloop_a2_peak_ratio,cycles_per_cta_k_tile,cycles_per_mma,cp_inst_per_k_tile
FP4,M128N256,2,128,331.221,32.0,797.779,398.889,2
FP4,M128N256,4,256,331.018,31.98,1596.534,399.134,4
FP4,M128N256,8,512,331.126,31.99,3192.028,399.003,8
FP4,M128N256,16,1024,332.272,32.1,6362.04,397.628,16
FP4,M128N128,2,128,214.647,20.74,615.524,307.762,2
FP4,M128N128,4,256,214.651,20.74,1231.03,307.757,4
FP4,M128N128,8,512,213.958,20.67,2470.023,308.753,8
FP4,M128N128,16,1024,214.654,20.74,4924.034,307.752,16
FP4,M128N64,2,128,107.324,10.37,615.524,307.762,2
FP4,M128N64,4,256,107.325,10.37,1231.03,307.757,4
FP4,M128N64,8,512,106.979,10.34,2470.023,308.753,8
FP4,M128N64,16,1024,107.196,10.36,4930.034,308.127,16
FP8,M128N256,2,64,165.145,31.94,800.028,400.014,2
FP8,M128N256,4,128,165.613,32.03,1595.534,398.884,4
FP8,M128N256,8,256,165.667,32.04,3190.027,398.753,8
FP8,M128N256,16,512,166.607,32.23,6344.041,396.503,16
FP8,M128N128,2,64,107.324,20.76,615.524,307.762,2
FP8,M128N128,4,128,107.325,20.76,1231.03,307.757,4
FP8,M128N128,8,256,107.008,20.7,2469.356,308.669,8
FP8,M128N128,16,512,107.349,20.76,4923.034,307.69,16
FP8,M128N64,2,64,53.662,10.38,615.524,307.762,2
FP8,M128N64,4,128,53.663,10.38,1231.03,307.757,4
FP8,M128N64,8,256,53.504,10.35,2469.356,308.669,8
FP8,M128N64,16,512,53.653,10.38,4925.034,307.815,16
BF16,M128N256,2,32,82.572,31.94,800.028,400.014,2
BF16,M128N256,4,64,82.806,32.03,1595.534,398.884,4
BF16,M128N256,8,128,82.834,32.04,3190.027,398.753,8
BF16,M128N256,16,256,83.304,32.23,6344.04,396.502,16
BF16,M128N128,2,32,53.662,20.76,615.524,307.762,2
BF16,M128N128,4,64,53.663,20.76,1231.03,307.757,4
BF16,M128N128,8,128,53.504,20.7,2469.356,308.669,8
BF16,M128N128,16,256,53.674,20.76,4923.034,307.69,16
BF16,M128N64,2,32,26.831,10.38,615.524,307.762,2
BF16,M128N64,4,64,26.831,10.38,1231.03,307.757,4
BF16,M128N64,8,128,26.752,10.35,2469.356,308.669,8
BF16,M128N64,16,256,26.826,10.38,4925.034,307.815,16
