BackendId,Version,N,Precision,Reference,TimeMs,GFLOPS,RatioToReference,Matched,Trial
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00563904,743.798,1,1,1
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,1
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.006296,666.185,0.893469,1,1
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00625248,670.822,0.892676,1,1
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,1
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512048,81.9123,0.115127,1,1
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512058,81.9108,0.113725,1,1
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00584896,717.102,1,1,2
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,2
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00620192,676.291,0.902791,1,2
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00621568,674.794,0.903933,1,2
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,2
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512211,81.8862,0.109374,1,2
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512122,81.9006,0.109486,1,2
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00561056,747.573,1,1,3
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,3
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00619968,676.536,0.907556,1,3
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00619552,676.99,0.905687,1,3
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,3
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512198,81.8883,0.109695,1,3
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512486,81.8422,0.108285,1,3
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00552064,759.75,1,1,4
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,4
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.0062048,675.977,0.907375,1,4
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00621472,674.898,0.903043,1,4
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,4
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512074,81.9082,0.110259,1,4
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512147,81.8965,0.109918,1,4
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00560736,748,1,1,5
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,5
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00619456,677.095,1.01953,1,5
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00618432,678.216,0.893201,1,5
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,5
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0511955,81.9272,0.108991,1,5
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512134,81.8985,0.109471,1,5
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.005624,745.787,1,1,6
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,6
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.0062112,675.281,0.906286,1,6
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00619392,677.165,0.94844,1,6
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,6
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512141,81.8975,0.108795,1,6
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512259,81.8786,0.109832,1,6
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00823712,509.195,1,1,7
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,7
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00622784,673.477,0.903864,1,7
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.0062144,674.933,1.00767,1,7
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,7
tc5a,tc5a overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.051216,81.8944,0.110303,1,7
tc5b,tc5b hybrid fallback tc5a M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512166,81.8934,0.109683,1,7
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00563712,744.051,1,1,8
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,8
