BackendId,Version,N,Precision,Reference,TimeMs,GFLOPS,RatioToReference,Matched,Trial
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00651424,643.867,1,1,1
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,1
tc0,tc0 CUDA WMMA Tensor Core baseline,128,fp16->fp32,cuBLAS Tensor Core,0.00618176,678.497,0.903458,1,1
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00618656,677.97,0.915947,1,1
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00617088,679.693,0.944099,1,1
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,1
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512426,81.852,0.110439,1,1
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512173,81.8924,0.107951,1,1
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00566304,740.645,1,1,2
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,2
tc0,tc0 CUDA WMMA Tensor Core baseline,128,fp16->fp32,cuBLAS Tensor Core,0.00617056,679.728,0.902557,1,2
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00617408,679.341,0.95807,1,2
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00619008,677.585,0.913462,1,2
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,2
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512253,81.8796,0.109833,1,2
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512006,81.919,0.110055,1,2
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00561664,746.764,1,1,3
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,3
tc0,tc0 CUDA WMMA Tensor Core baseline,128,fp16->fp32,cuBLAS Tensor Core,0.00617312,679.446,0.913949,1,3
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.0061904,677.55,0.969346,1,3
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00621664,674.69,0.903125,1,3
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,3
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0511949,81.9282,0.114743,1,3
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512032,81.9149,0.109468,1,3
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00563808,743.924,1,1,4
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,4
tc0,tc0 CUDA WMMA Tensor Core baseline,128,fp16->fp32,cuBLAS Tensor Core,0.00617216,679.552,0.917099,1,4
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00617888,678.813,0.912528,1,4
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.0061984,676.675,0.920392,1,4
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,4
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512432,81.8509,0.109676,1,4
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512141,81.8975,0.110551,1,4
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00562784,745.278,1,1,5
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,5
tc0,tc0 CUDA WMMA Tensor Core baseline,128,fp16->fp32,cuBLAS Tensor Core,0.00620256,676.221,0.916318,1,5
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00618528,678.111,0.909721,1,5
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00621024,675.385,0.899933,1,5
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,5
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512077,81.9077,0.109196,1,5
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512198,81.8883,0.108383,1,5
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00561952,746.381,1,1,6
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,6
tc0,tc0 CUDA WMMA Tensor Core baseline,128,fp16->fp32,cuBLAS Tensor Core,0.00617536,679.2,0.911441,1,6
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00619328,677.235,0.907823,1,6
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00618464,678.181,0.920008,1,6
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,6
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512051,81.9118,0.11042,1,6
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512035,81.9144,0.110599,1,6
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00554848,755.938,1,1,7
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,7
tc0,tc0 CUDA WMMA Tensor Core baseline,128,fp16->fp32,cuBLAS Tensor Core,0.0061776,678.954,0.936131,1,7
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.0062816,667.713,0.897351,1,7
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00629792,665.982,0.891215,1,7
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,7
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.051223,81.8832,0.109076,1,7
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512042,81.9133,0.110722,1,7
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00561344,747.19,1,1,8
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,8
tc0,tc0 CUDA WMMA Tensor Core baseline,128,fp16->fp32,cuBLAS Tensor Core,0.00619168,677.41,0.903509,1,8
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00618336,678.321,0.932671,1,8
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00622048,674.273,0.909563,1,8
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,8
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512115,81.9016,0.112487,1,8
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512134,81.8985,0.110983,1,8
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00562816,745.235,1,1,9
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,9
tc0,tc0 CUDA WMMA Tensor Core baseline,128,fp16->fp32,cuBLAS Tensor Core,0.006168,680.01,0.912944,1,9
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00619072,677.515,0.902667,1,9
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00619136,677.445,0.912239,1,9
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,9
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512147,81.8965,0.109262,1,9
tc5n,tc5n hybrid fallback tc5h M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512147,81.8965,0.110693,1,9
cublas_tc,cuBLAS Tensor Core,128,fp16->fp32,cuBLAS Tensor Core,0.00565984,741.064,1,1,10
cutlass,CUTLASS official Blackwell auto schedule unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,10
tc0,tc0 CUDA WMMA Tensor Core baseline,128,fp16->fp32,cuBLAS Tensor Core,0.0061872,677.9,0.907577,1,10
tc2a,tc2a 2D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.0061984,676.675,0.897625,1,10
tc2b,tc2b 3D TMA SW128-SMEM TCGen05,128,fp16->fp32,cuBLAS Tensor Core,0.00622176,674.135,0.940338,1,10
tc4a,warp-specialized TMA/TCGen05 pipeline unavailable,128,fp16->fp32,cuBLAS Tensor Core,0,0,0,0,10
tc5h,tc5h overlapped epilogue M128N256K64 TCGen05 GEMM,128,fp16->fp32,cuBLAS Tensor Core,0.0512198,81.8883,0.110788,1,10
