Precision,Stage,BackendId,BackendLabel,N,Reference,TimeMs,GFLOPS,RatioToReference,Matched,Status,Reason,Trial
NVFP4,q0,nvfp4_q0_tc6_fused_epilogue,reuse GEMMsm110 tc6 fused NVFP4 epilogue,1024,cuBLAS Tensor Core quantized,0.0758371,28317.1,0.274821,1,ok,,1
NVFP4,q1,nvfp4_q1_native_fp4_mainloop,planned native FP4/NVFP4 mainloop,1024,cuBLAS/cuBLASLt precision reference,,,,0,missing,planned: replace FP16 mainloop + requant with native FP4/NVFP4 path,1
NVFP4,q2,nvfp4_q2_cutlass_72b_nvfp4,CUTLASS 72b block-scaled NVFP4 Tensor Core,1024,cuBLAS Tensor Core fp16->fp32,0.0166954,128628,1.29573,1,ok,,1
MXFP4,q0,mxfp4_q0_cutlass_72a_mxfp4_bf16,CUTLASS 72a MXFP4 BF16 default swizzle,1024,cuBLAS Tensor Core fp16->fp32,0.0178957,120000,1.1707,1,ok,,1
MXFP4,q1,mxfp4_q1_cutlass_72a_swizzle1,CUTLASS 72a MXFP4 BF16 swizzle tuned,1024,cuBLAS Tensor Core fp16->fp32,0.0171232,125414,1.25394,1,ok,,1
FP8,q0,fp8_q0_cuda_naive,FP8 q0 naive CUDA baseline,1024,cuBLASLt FP8 E4M3,3.51142,611.571,0.00454106,1,ok,,1
FP8,q1,fp8_q1_cuda_vec4cols,FP8 q1 register-tiled four-column CUDA baseline,1024,cuBLASLt FP8 E4M3,2.26319,948.873,0.00706541,1,ok,,1
FP8,q2,fp8_q2_cuda_vec8cols,FP8 q2 register-tiled eight-column CUDA baseline,1024,cuBLASLt FP8 E4M3,1.81012,1186.37,0.00883917,1,ok,,1
FP8,q3,fp8_q3_cuda_vec16cols,FP8 q3 register-tiled sixteen-column CUDA baseline,1024,cuBLASLt FP8 E4M3,2.38411,900.748,0.00668157,1,ok,,1
FP8,q4,fp8_q4_mma_m16n8k32_global,FP8 q4 warp MMA M16N8K32 global-load Tensor Core,1024,cuBLASLt FP8 E4M3,0.431162,4980.69,0.040575,1,ok,,1
